game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20230702HHSS02023,1,0,0,0,1,0,0,0,0,69446,66657,R,0.0,0.255,144.0,직구,1,144.0,1,B,이진영 : 포수 스트라이크 낫 아웃 (포수 태그아웃),
20230702HHSS02023,1,0,0,0,1,1,0,0,0,69446,66657,R,0.0,0.255,129.0,슬라이더,2,136.5,2,T,이진영 : 포수 스트라이크 낫 아웃 (포수 태그아웃),
20230702HHSS02023,1,0,0,0,1,2,0,0,0,69446,66657,R,0.0,0.255,129.0,슬라이더,3,134.0,3,T,이진영 : 포수 스트라이크 낫 아웃 (포수 태그아웃),
20230702HHSS02023,1,0,0,0,1,3,0,0,0,69446,66657,R,0.0,0.255,125.0,체인지업,4,131.75,4,S,이진영 : 포수 스트라이크 낫 아웃 (포수 태그아웃),
20230702HHSS02023,1,0,0,1,0,1,0,0,0,69446,66715,L,0.0,0.242,122.0,체인지업,5,129.8,5,S,김인환 : 중견수 플라이 아웃,
20230702HHSS02023,1,0,0,1,1,1,0,0,0,69446,66715,L,0.0,0.242,114.0,커브,6,123.8,6,B,김인환 : 중견수 플라이 아웃,
20230702HHSS02023,1,0,0,1,2,1,0,0,0,69446,66715,L,0.0,0.242,123.0,체인지업,7,122.6,7,B,김인환 : 중견수 플라이 아웃,
20230702HHSS02023,1,0,0,1,2,2,0,0,0,69446,66715,L,0.0,0.242,124.0,체인지업,8,121.6,8,F,김인환 : 중견수 플라이 아웃,
20230702HHSS02023,1,0,0,1,2,2,0,0,0,69446,66715,L,0.0,0.242,145.0,직구,9,125.6,9,H,김인환 : 중견수 플라이 아웃,
20230702HHSS02023,1,0,0,2,1,0,0,0,0,69446,69737,R,0.0,0.318,147.0,직구,10,130.6,10,B,노시환 : 1루수 파울플라이 아웃,
20230702HHSS02023,1,0,0,2,1,0,0,0,0,69446,69737,R,0.0,0.318,147.0,직구,11,137.2,11,H,노시환 : 1루수 파울플라이 아웃,
20230702HHSS02023,1,1,0,0,0,1,0,0,0,52720,51417,L,0.458,0.304,147.0,직구,1,147.0,1,T,김현준 : 삼진 아웃,
20230702HHSS02023,1,1,0,0,0,2,0,0,0,52720,51417,L,0.458,0.304,127.0,커브,2,137.0,2,T,김현준 : 삼진 아웃,
20230702HHSS02023,1,1,0,0,0,3,0,0,0,52720,51417,L,0.458,0.304,133.0,체인지업,3,135.67,3,S,김현준 : 삼진 아웃,
20230702HHSS02023,1,1,0,1,1,0,0,0,0,52720,51463,R,0.316,0.277,147.0,직구,4,138.5,4,B,피렐라 : 좌익수 플라이 아웃,
20230702HHSS02023,1,1,0,1,1,1,0,0,0,52720,51463,R,0.316,0.277,147.0,직구,5,140.2,5,F,피렐라 : 좌익수 플라이 아웃,
20230702HHSS02023,1,1,0,1,1,1,0,0,0,52720,51463,R,0.316,0.277,137.0,체인지업,6,138.2,6,H,피렐라 : 좌익수 플라이 아웃,
20230702HHSS02023,1,1,0,2,0,1,0,0,0,52720,75334,L,0.138,0.189,135.0,체인지업,7,139.8,7,T,오재일 : 삼진 아웃,
20230702HHSS02023,1,1,0,2,1,1,0,0,0,52720,75334,L,0.138,0.189,147.0,직구,8,142.6,8,B,오재일 : 삼진 아웃,
20230702HHSS02023,1,1,0,2,1,2,0,0,0,52720,75334,L,0.138,0.189,130.0,커브,9,139.2,9,F,오재일 : 삼진 아웃,
20230702HHSS02023,1,1,0,2,1,3,0,0,0,52720,75334,L,0.138,0.189,148.0,직구,10,139.4,10,S,오재일 : 삼진 아웃,
20230702HHSS02023,2,0,0,0,1,0,0,0,0,69446,53716,L,0.0,0.25,143.0,직구,12,141.2,1,B,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,0,2,0,0,0,0,69446,53716,L,0.0,0.25,122.0,체인지업,13,140.8,2,B,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,0,3,0,0,0,0,69446,53716,L,0.0,0.25,142.0,직구,14,140.2,3,B,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,0,3,1,0,0,0,69446,53716,L,0.0,0.25,137.0,직구,15,138.2,4,T,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,0,3,2,0,0,0,69446,53716,L,0.0,0.25,143.0,직구,16,137.4,5,T,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,0,3,2,0,0,0,69446,53716,L,0.0,0.25,125.0,체인지업,17,133.8,6,H,윌리엄스 : 중견수 플라이 아웃,
20230702HHSS02023,2,0,0,1,0,1,0,0,0,69446,79192,R,0.0,1.0,130.0,슬라이더,18,135.4,7,T,채은성 : 좌익수 오른쪽 1루타,
20230702HHSS02023,2,0,0,1,1,1,0,0,0,69446,79192,R,0.0,1.0,131.0,슬라이더,19,133.2,8,B,채은성 : 좌익수 오른쪽 1루타,
20230702HHSS02023,2,0,0,1,1,1,0,0,0,69446,79192,R,0.0,1.0,125.0,체인지업,20,130.8,9,H,채은성 : 좌익수 오른쪽 1루타,
20230702HHSS02023,2,0,0,1,0,1,1,0,0,69446,53764,L,0.0,1.0,121.0,체인지업,21,126.4,10,T,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,0,2,1,0,0,69446,53764,L,0.0,1.0,145.0,직구,22,130.4,11,F,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,0,2,1,0,0,69446,53764,L,0.0,1.0,145.0,직구,23,133.4,12,F,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,0,2,1,0,0,69446,53764,L,0.0,1.0,123.0,체인지업,24,131.8,13,F,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,1,2,1,0,0,69446,53764,L,0.0,1.0,144.0,직구,25,135.6,14,B,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,1,2,1,0,0,69446,53764,L,0.0,1.0,143.0,직구,26,140.0,15,H,문현빈 : 우중간 2루타,
20230702HHSS02023,2,0,0,1,0,1,0,1,1,69446,68743,L,0.0,0.224,138.0,커터,27,138.6,16,T,정은원 : 중견수 희생플라이 아웃,
20230702HHSS02023,2,0,0,1,0,2,0,1,1,69446,68743,L,0.0,0.224,115.0,커브,28,132.6,17,S,정은원 : 중견수 희생플라이 아웃,
20230702HHSS02023,2,0,0,1,1,2,0,1,1,69446,68743,L,0.0,0.224,146.0,직구,29,137.2,18,B,정은원 : 중견수 희생플라이 아웃,
20230702HHSS02023,2,0,0,1,2,2,0,1,1,69446,68743,L,0.0,0.224,126.0,체인지업,30,133.6,19,B,정은원 : 중견수 희생플라이 아웃,
20230702HHSS02023,2,0,0,1,2,2,0,1,1,69446,68743,L,0.0,0.224,124.0,체인지업,31,129.8,20,H,정은원 : 중견수 희생플라이 아웃,
20230702HHSS02023,2,0,-1,2,0,1,0,0,1,69446,78288,R,0.0,0.249,145.0,직구,32,131.2,21,T,최재훈 : 우익수 플라이 아웃,
20230702HHSS02023,2,0,-1,2,1,1,0,0,1,69446,78288,R,0.0,0.249,145.0,직구,33,137.2,22,B,최재훈 : 우익수 플라이 아웃,
20230702HHSS02023,2,0,-1,2,1,2,0,0,1,69446,78288,R,0.0,0.249,144.0,직구,34,136.8,23,F,최재훈 : 우익수 플라이 아웃,
20230702HHSS02023,2,0,-1,2,2,2,0,0,1,69446,78288,R,0.0,0.249,124.0,체인지업,35,136.4,24,B,최재훈 : 우익수 플라이 아웃,
20230702HHSS02023,2,0,-1,2,2,2,0,0,1,69446,78288,R,0.0,0.249,145.0,직구,36,140.6,25,F,최재훈 : 우익수 플라이 아웃,
20230702HHSS02023,2,0,-1,2,2,2,0,0,1,69446,78288,R,0.0,0.249,132.0,슬라이더,37,138.0,26,H,최재훈 : 우익수 플라이 아웃,
