game_id,date,away_code,home_code,away_name,home_name,status_code,status_info,cancel,suspended,game_status
20160308LGHT02016,2016-03-08,LG,HT,LG,KIA,BEFORE,경기취소,True,False,cancelled
20160308OBKT02016,2016-03-08,OB,KT,두산,KT,RESULT,9회말,False,False,normal
20160308SKLT02016,2016-03-08,SK,LT,SSG,롯데,RESULT,9회말,False,False,normal
20160308SSNC02016,2016-03-08,SS,NC,삼성,NC,RESULT,9회말,False,False,normal
20160308WOHH02016,2016-03-08,WO,HH,키움,한화,RESULT,9회초,False,False,normal
20160309LGHT02016,2016-03-09,LG,HT,LG,KIA,RESULT,9회말,False,False,normal
20160309OBKT02016,2016-03-09,OB,KT,두산,KT,RESULT,9회말,False,False,normal
20160309SKLT02016,2016-03-09,SK,LT,SSG,롯데,RESULT,9회말,False,False,normal
20160309SSNC02016,2016-03-09,SS,NC,삼성,NC,RESULT,9회말,False,False,normal
20160309WOHH02016,2016-03-09,WO,HH,키움,한화,RESULT,9회초,False,False,normal
20160310LGNC02016,2016-03-10,LG,NC,LG,NC,RESULT,9회말,False,False,normal
20160310OBHH02016,2016-03-10,OB,HH,두산,한화,RESULT,9회초,False,False,normal
20160310SKHT02016,2016-03-10,SK,HT,SSG,KIA,RESULT,6회말,False,False,called
20160310SSLT02016,2016-03-10,SS,LT,삼성,롯데,RESULT,9회말,False,False,normal
20160310WOKT02016,2016-03-10,WO,KT,키움,KT,BEFORE,경기취소,True,False,cancelled
20160311LGNC02016,2016-03-11,LG,NC,LG,NC,RESULT,9회말,False,False,normal
20160311OBHH02016,2016-03-11,OB,HH,두산,한화,BEFORE,경기취소,True,False,cancelled
20160311SKHT02016,2016-03-11,SK,HT,SSG,KIA,BEFORE,경기취소,True,False,cancelled
20160311SSLT02016,2016-03-11,SS,LT,삼성,롯데,RESULT,5회말,False,False,called
20160311WOKT02016,2016-03-11,WO,KT,키움,KT,BEFORE,경기취소,True,False,cancelled
20160312LGLT02016,2016-03-12,LG,LT,LG,롯데,RESULT,9회말,False,False,normal
20160312OBNC02016,2016-03-12,OB,NC,두산,NC,RESULT,9회초,False,False,normal
20160312SKKT02016,2016-03-12,SK,KT,SSG,KT,RESULT,9회초,False,False,normal
20160312SSHH02016,2016-03-12,SS,HH,삼성,한화,RESULT,9회초,False,False,normal
20160312WOHT02016,2016-03-12,WO,HT,키움,KIA,RESULT,9회초,False,False,normal
20160313LGLT02016,2016-03-13,LG,LT,LG,롯데,RESULT,9회초,False,False,normal
20160313OBNC02016,2016-03-13,OB,NC,두산,NC,RESULT,9회말,False,False,normal
20160313SKKT02016,2016-03-13,SK,KT,SSG,KT,RESULT,9회말,False,False,normal
20160313SSHH02016,2016-03-13,SS,HH,삼성,한화,RESULT,9회말,False,False,normal
20160313WOHT02016,2016-03-13,WO,HT,키움,KIA,RESULT,9회말,False,False,normal
20160315LGHH02016,2016-03-15,LG,HH,LG,한화,RESULT,9회초,False,False,normal
20160315NCHT02016,2016-03-15,NC,HT,NC,KIA,RESULT,9회초,False,False,normal
20160315OBLT02016,2016-03-15,OB,LT,두산,롯데,RESULT,9회말,False,False,normal
20160315SKWO02016,2016-03-15,SK,WO,SSG,키움,RESULT,9회말,False,False,normal
20160315SSKT02016,2016-03-15,SS,KT,삼성,KT,RESULT,9회초,False,False,normal
20160316LGHH02016,2016-03-16,LG,HH,LG,한화,RESULT,9회초,False,False,normal
20160316NCHT02016,2016-03-16,NC,HT,NC,KIA,RESULT,9회초,False,False,normal
20160316OBLT02016,2016-03-16,OB,LT,두산,롯데,RESULT,9회말,False,False,normal
20160316SKWO02016,2016-03-16,SK,WO,SSG,키움,RESULT,9회말,False,False,normal
20160316SSKT02016,2016-03-16,SS,KT,삼성,KT,RESULT,9회말,False,False,normal
20160317LGKT02016,2016-03-17,LG,KT,LG,KT,RESULT,9회초,False,False,normal
20160317NCLT02016,2016-03-17,NC,LT,NC,롯데,RESULT,9회말,False,False,normal
20160317OBWO02016,2016-03-17,OB,WO,두산,키움,RESULT,9회말,False,False,normal
20160317SKHH02016,2016-03-17,SK,HH,SSG,한화,RESULT,9회말,False,False,normal
20160317SSHT02016,2016-03-17,SS,HT,삼성,KIA,RESULT,9회말,False,False,normal
20160318LGKT02016,2016-03-18,LG,KT,LG,KT,RESULT,9회초,False,False,normal
