game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20160504OBLG02016,1,0,0,0,0,1,0,0,0,73117,79215,R,0.0,0.5,137.0,투심,1,137.0,1,S,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,0,1,1,0,0,0,73117,79215,R,0.0,0.5,130.0,투심,2,133.5,2,B,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,0,2,1,0,0,0,73117,79215,R,0.0,0.5,136.0,직구,3,134.33,3,B,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,0,2,2,0,0,0,73117,79215,R,0.0,0.5,119.0,커브,4,130.5,4,T,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,0,3,2,0,0,0,73117,79215,R,0.0,0.5,137.0,직구,5,131.8,5,B,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,0,3,3,0,0,0,73117,79215,R,0.0,0.5,136.0,직구,6,131.6,6,S,박건우 :  삼진 아웃 ,
20160504OBLG02016,1,0,0,1,0,1,0,0,0,73117,79231,L,0.0,0.667,116.0,커브,7,128.8,7,T,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,1,1,0,0,0,73117,79231,L,0.0,0.667,118.0,커브,8,125.2,8,B,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,2,1,0,0,0,73117,79231,L,0.0,0.667,121.0,체인지업,9,125.6,9,B,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,3,1,0,0,0,73117,79231,L,0.0,0.667,138.0,직구,10,125.8,10,B,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,3,2,0,0,0,73117,79231,L,0.0,0.667,136.0,투심,11,125.8,11,S,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,3,2,0,0,0,73117,79231,L,0.0,0.667,124.0,슬라이더,12,127.4,12,F,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,3,2,0,0,0,73117,79231,L,0.0,0.667,137.0,투심,13,131.2,13,H,정수빈 : 좌익수 왼쪽 2루타,
20160504OBLG02016,1,0,0,1,1,0,0,1,0,73117,76249,R,0.0,0.4,136.0,투심,14,134.2,14,B,민병헌 : 좌익수 앞 1루타,
20160504OBLG02016,1,0,0,1,2,0,0,1,0,73117,76249,R,0.0,0.4,137.0,직구,15,134.0,15,B,민병헌 : 좌익수 앞 1루타,
20160504OBLG02016,1,0,0,1,2,0,0,1,0,73117,76249,R,0.0,0.4,133.0,직구,16,133.4,16,H,민병헌 : 좌익수 앞 1루타,
20160504OBLG02016,1,0,0,2,1,0,1,0,0,73117,75334,L,0.0,0.25,133.0,투심,17,135.2,17,B,오재일 : 우익수 뒤 홈런 (홈런거리:125M) ,
20160504OBLG02016,1,0,0,2,1,1,1,0,0,73117,75334,L,0.0,0.25,115.0,커브,18,130.8,18,T,오재일 : 우익수 뒤 홈런 (홈런거리:125M) ,
20160504OBLG02016,1,0,0,2,1,2,1,0,0,73117,75334,L,0.0,0.25,137.0,직구,19,131.0,19,F,오재일 : 우익수 뒤 홈런 (홈런거리:125M) ,
20160504OBLG02016,1,0,0,2,2,2,1,0,0,73117,75334,L,0.0,0.25,133.0,직구,20,130.2,20,B,오재일 : 우익수 뒤 홈런 (홈런거리:125M) ,
20160504OBLG02016,1,0,0,2,2,2,1,0,0,73117,75334,L,0.0,0.25,122.0,커브,21,128.0,21,H,오재일 : 우익수 뒤 홈런 (홈런거리:125M) ,
20160504OBLG02016,1,0,-2,2,1,0,0,0,0,73117,77248,L,0.0,0.25,122.0,체인지업,22,125.8,22,B,오재원 :  삼진 아웃 ,
