game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20160724HHLT02016,1,0,0,0,1,0,0,0,0,73211,75808,R,0.0,0.312,143.0,직구,1,143.0,1,B,정근우 : 중견수 플라이 아웃 ,
20160724HHLT02016,1,0,0,0,1,0,0,0,0,73211,75808,R,0.0,0.312,143.0,직구,2,143.0,2,H,정근우 : 중견수 플라이 아웃 ,
20160724HHLT02016,1,0,0,1,1,0,0,0,0,73211,74163,L,0.0,0.359,136.0,슬라이더,3,140.67,3,B,이용규 :  볼넷,
20160724HHLT02016,1,0,0,1,2,0,0,0,0,73211,74163,L,0.0,0.359,144.0,직구,4,141.5,4,B,이용규 :  볼넷,
20160724HHLT02016,1,0,0,1,2,1,0,0,0,73211,74163,L,0.0,0.359,144.0,직구,5,142.0,5,T,이용규 :  볼넷,
20160724HHLT02016,1,0,0,1,3,1,0,0,0,73211,74163,L,0.0,0.359,145.0,직구,6,142.4,6,B,이용규 :  볼넷,
20160724HHLT02016,1,0,0,1,4,1,0,0,0,73211,74163,L,0.0,0.359,143.0,직구,7,142.4,7,B,이용규 :  볼넷,
20160724HHLT02016,1,0,0,1,1,0,1,0,0,73211,71610,L,0.0,0.276,132.0,포크,8,141.6,8,B,김경언 : 2루수 앞 땅볼로 출루 ,
20160724HHLT02016,1,0,0,1,2,0,1,0,0,73211,71610,L,0.0,0.276,132.0,포크,9,139.2,9,B,김경언 : 2루수 앞 땅볼로 출루 ,
20160724HHLT02016,1,0,0,1,2,1,1,0,0,73211,71610,L,0.0,0.276,144.0,직구,10,139.2,10,T,김경언 : 2루수 앞 땅볼로 출루 ,
20160724HHLT02016,1,0,0,1,3,1,1,0,0,73211,71610,L,0.0,0.276,132.0,슬라이더,11,136.6,11,B,김경언 : 2루수 앞 땅볼로 출루 ,
20160724HHLT02016,1,0,0,1,3,1,1,0,0,73211,71610,L,0.0,0.276,135.0,슬라이더,12,135.0,12,H,김경언 : 2루수 앞 땅볼로 출루 ,
20160724HHLT02016,1,0,0,2,1,0,1,0,0,73211,71752,R,0.0,1.0,144.0,직구,13,137.4,13,B,김태균 : 좌익수 왼쪽 2루타,
20160724HHLT02016,1,0,0,2,1,1,1,0,0,73211,71752,R,0.0,1.0,133.0,포크,14,137.6,14,S,김태균 : 좌익수 왼쪽 2루타,
20160724HHLT02016,1,0,0,2,2,1,1,0,0,73211,71752,R,0.0,1.0,144.0,직구,15,137.6,15,B,김태균 : 좌익수 왼쪽 2루타,
20160724HHLT02016,1,0,0,2,2,2,1,0,0,73211,71752,R,0.0,1.0,115.0,커브,16,134.2,16,T,김태균 : 좌익수 왼쪽 2루타,
20160724HHLT02016,1,0,0,2,2,2,1,0,0,73211,71752,R,0.0,1.0,133.0,포크,17,133.8,17,H,김태균 : 좌익수 왼쪽 2루타,
20160724HHLT02016,1,0,0,2,1,0,0,1,1,73211,62797,L,0.0,0.276,135.0,슬라이더,18,132.0,18,B,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,0,2,1,1,0,1,1,73211,62797,L,0.0,0.276,134.0,포크,19,132.2,19,T,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,0,2,1,2,0,1,1,73211,62797,L,0.0,0.276,115.0,커브,20,126.4,20,T,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,0,2,2,2,0,1,1,73211,62797,L,0.0,0.276,144.0,직구,21,132.2,21,B,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,0,2,3,2,0,1,1,73211,62797,L,0.0,0.276,143.0,직구,22,134.2,22,B,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,0,2,3,2,0,1,1,73211,62797,L,0.0,0.276,144.0,직구,23,136.0,23,H,양성우 : 중견수 앞 1루타,
20160724HHLT02016,1,0,-2,2,0,1,0,1,0,73211,66740,R,0.0,0.323,117.0,커브,24,132.6,24,T,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,0,-2,2,1,1,0,1,0,73211,66740,R,0.0,0.323,135.0,포크,25,136.6,25,B,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,0,-2,2,1,2,0,1,0,73211,66740,R,0.0,0.323,133.0,포크,26,134.4,26,F,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,0,-2,2,1,2,0,1,0,73211,66740,R,0.0,0.323,134.0,포크,27,132.6,27,F,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,0,-2,2,2,2,0,1,0,73211,66740,R,0.0,0.323,137.0,슬라이더,28,131.2,28,B,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,0,-2,2,2,2,0,1,0,73211,66740,R,0.0,0.323,132.0,포크,29,134.2,29,H,로사리오 : 좌익수 플라이 아웃 ,
20160724HHLT02016,1,1,-2,0,1,0,0,0,0,66750,77532,L,0.286,0.302,150.0,직구,1,150.0,1,B,손아섭 :  삼진 아웃 ,
20160724HHLT02016,1,1,-2,0,1,1,0,0,0,66750,77532,L,0.286,0.302,150.0,직구,2,150.0,2,T,손아섭 :  삼진 아웃 ,
20160724HHLT02016,1,1,-2,0,1,2,0,0,0,66750,77532,L,0.286,0.302,152.0,직구,3,150.67,3,F,손아섭 :  삼진 아웃 ,
