game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20160918WOLT02016,1,0,0,0,0,1,0,0,0,65543,78168,L,0.0,0.317,142.0,직구,1,142.0,1,T,서건창 : 몸에 맞는 볼,
20160918WOLT02016,1,0,0,0,1,1,0,0,0,65543,78168,L,0.0,0.317,145.0,투심,2,143.5,2,B,서건창 : 몸에 맞는 볼,
20160918WOLT02016,1,0,0,0,0,1,1,0,0,65543,61353,L,0.0,0.347,143.0,직구,3,143.33,3,T,고종욱 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20160918WOLT02016,1,0,0,0,1,1,1,0,0,65543,61353,L,0.0,0.347,138.0,투심,4,142.0,4,B,고종욱 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20160918WOLT02016,1,0,0,0,1,2,1,0,0,65543,61353,L,0.0,0.347,139.0,투심,5,141.4,5,F,고종욱 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20160918WOLT02016,1,0,0,0,2,2,1,0,0,65543,61353,L,0.0,0.347,130.0,포크,6,139.0,6,B,고종욱 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20160918WOLT02016,1,0,0,0,2,2,1,0,0,65543,61353,L,0.0,0.347,143.0,직구,7,138.6,7,H,고종욱 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20160918WOLT02016,1,0,0,2,1,0,0,0,0,65543,73342,R,0.0,1.0,144.0,직구,8,138.8,8,B,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,0,2,1,1,0,0,0,65543,73342,R,0.0,1.0,145.0,직구,9,140.2,9,T,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,0,2,1,2,0,0,0,65543,73342,R,0.0,1.0,140.0,직구,10,140.4,10,T,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,0,2,2,2,0,0,0,65543,73342,R,0.0,1.0,133.0,슬라이더,11,141.0,11,B,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,0,2,2,2,0,0,0,65543,73342,R,0.0,1.0,146.0,직구,12,141.6,12,F,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,0,2,2,2,0,0,0,65543,73342,R,0.0,1.0,145.0,직구,13,141.8,13,H,이택근 : 좌익수 뒤 홈런 (홈런거리:125M) ,
20160918WOLT02016,1,0,-1,2,1,0,0,0,0,65543,74215,R,0.0,0.338,139.0,투심,14,140.6,14,B,윤석민 : 우익수 플라이 아웃 ,
20160918WOLT02016,1,0,-1,2,1,1,0,0,0,65543,74215,R,0.0,0.338,144.0,직구,15,141.4,15,S,윤석민 : 우익수 플라이 아웃 ,
20160918WOLT02016,1,0,-1,2,1,1,0,0,0,65543,74215,R,0.0,0.338,144.0,직구,16,143.6,16,H,윤석민 : 우익수 플라이 아웃 ,
20160918WOLT02016,1,1,-1,0,1,0,0,0,0,75750,78513,R,0.0,1.0,139.0,직구,1,139.0,1,B,전준우 : 중견수 왼쪽 2루타,
20160918WOLT02016,1,1,-1,0,1,0,0,0,0,75750,78513,R,0.0,1.0,138.0,직구,2,138.5,2,H,전준우 : 중견수 왼쪽 2루타,
20160918WOLT02016,1,1,-1,0,1,0,0,1,0,75750,62556,R,0.0,0.294,140.0,직구,3,139.0,3,B,신본기 : 몸에 맞는 볼,
20160918WOLT02016,1,1,-1,0,1,0,1,1,0,75750,77532,L,0.271,0.321,139.0,직구,4,139.0,4,B,손아섭 : 유격수 앞 땅볼로 출루 ,
20160918WOLT02016,1,1,-1,0,1,1,1,1,0,75750,77532,L,0.271,0.321,129.0,슬라이더,5,137.0,5,T,손아섭 : 유격수 앞 땅볼로 출루 ,
20160918WOLT02016,1,1,-1,0,1,1,1,1,0,75750,77532,L,0.271,0.321,128.0,슬라이더,6,134.8,6,H,손아섭 : 유격수 앞 땅볼로 출루 ,
20160918WOLT02016,1,1,-1,1,1,0,1,0,1,75750,76313,R,0.182,1.0,130.0,포크,7,133.2,7,B,황재균 : 3루수 앞 내야안타,
20160918WOLT02016,1,1,-1,1,1,0,1,0,1,75750,76313,R,0.182,1.0,130.0,포크,8,131.2,8,H,황재균 : 3루수 앞 내야안타,
20160918WOLT02016,1,1,0,1,0,1,1,1,0,75750,74540,R,0.379,1.0,115.0,커브,9,126.4,9,T,강민호 : 우익수 앞 1루타,
20160918WOLT02016,1,1,0,1,0,1,1,1,0,75750,74540,R,0.379,1.0,138.0,직구,10,128.2,10,H,강민호 : 우익수 앞 1루타,
20160918WOLT02016,1,1,1,1,0,1,1,0,1,75750,76509,L,0.176,0.329,139.0,직구,11,130.4,11,T,김문호 : 유격수 앞 땅볼로 출루 ,
20160918WOLT02016,1,1,1,1,1,1,1,0,1,75750,76509,L,0.176,0.329,139.0,직구,12,132.2,12,B,김문호 : 유격수 앞 땅볼로 출루 ,
