game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20180502SKSS02018,1,0,0,0,0,1,0,0,0,74454,63704,L,0.0,0.32,125.0,슬라이더,1,125.0,1,T,노수광 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,0,1,1,0,0,0,74454,63704,L,0.0,0.32,127.0,체인지업,2,126.0,2,B,노수광 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,0,1,2,0,0,0,74454,63704,L,0.0,0.32,127.0,슬라이더,3,126.33,3,T,노수광 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,0,2,2,0,0,0,74454,63704,L,0.0,0.32,138.0,직구,4,129.25,4,B,노수광 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,0,2,3,0,0,0,74454,63704,L,0.0,0.32,128.0,슬라이더,5,129.0,5,T,노수광 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,1,0,0,0,0,74454,62895,L,0.0,0.277,112.0,커브,6,126.4,6,B,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,2,0,0,0,0,74454,62895,L,0.0,0.277,136.0,직구,7,128.2,7,B,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,3,0,0,0,0,74454,62895,L,0.0,0.277,135.0,직구,8,129.8,8,B,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,3,1,0,0,0,74454,62895,L,0.0,0.277,133.0,직구,9,128.8,9,T,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,3,2,0,0,0,74454,62895,L,0.0,0.277,128.0,슬라이더,10,128.8,10,T,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,1,3,3,0,0,0,74454,62895,L,0.0,0.277,137.0,직구,11,133.8,11,S,한동민 :  삼진 아웃 ,
20180502SKSS02018,1,0,0,2,0,1,0,0,0,74454,75847,R,0.0,0.271,111.0,커브,12,128.8,12,S,최정 :  볼넷,
20180502SKSS02018,1,0,0,2,1,1,0,0,0,74454,75847,R,0.0,0.271,137.0,직구,13,129.2,13,B,최정 :  볼넷,
20180502SKSS02018,1,0,0,2,2,1,0,0,0,74454,75847,R,0.0,0.271,112.0,커브,14,125.0,14,B,최정 :  볼넷,
20180502SKSS02018,1,0,0,2,3,1,0,0,0,74454,75847,R,0.0,0.271,135.0,직구,15,126.4,15,B,최정 :  볼넷,
20180502SKSS02018,1,0,0,2,4,1,0,0,0,74454,75847,R,0.0,0.271,128.0,슬라이더,16,124.6,16,B,최정 :  볼넷,
20180502SKSS02018,1,0,0,2,1,0,1,0,0,74454,67872,R,0.0,0.369,135.0,직구,17,129.4,17,B,로맥 : 몸에 맞는 볼,
20180502SKSS02018,1,0,0,2,0,0,1,1,0,74454,61869,L,0.0,0.282,114.0,커브,18,124.8,18,H,정진기 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20180502SKSS02018,1,1,0,0,1,0,0,0,0,65856,62415,L,0.222,0.283,143.0,커터,1,143.0,1,B,박해민 : 투수 땅볼 아웃 (투수->1루수 송구아웃),
20180502SKSS02018,1,1,0,0,2,0,0,0,0,65856,62415,L,0.222,0.283,145.0,직구,2,144.0,2,B,박해민 : 투수 땅볼 아웃 (투수->1루수 송구아웃),
20180502SKSS02018,1,1,0,0,2,1,0,0,0,65856,62415,L,0.222,0.283,145.0,투심,3,144.33,3,T,박해민 : 투수 땅볼 아웃 (투수->1루수 송구아웃),
20180502SKSS02018,1,1,0,0,2,1,0,0,0,65856,62415,L,0.222,0.283,144.0,투심,4,144.25,4,H,박해민 : 투수 땅볼 아웃 (투수->1루수 송구아웃),
20180502SKSS02018,1,1,0,1,1,0,0,0,0,65856,79402,R,0.083,0.263,148.0,직구,5,145.0,5,B,김상수 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180502SKSS02018,1,1,0,1,1,1,0,0,0,65856,79402,R,0.083,0.263,147.0,직구,6,145.8,6,F,김상수 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180502SKSS02018,1,1,0,1,1,2,0,0,0,65856,79402,R,0.083,0.263,142.0,커터,7,145.2,7,F,김상수 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180502SKSS02018,1,1,0,1,2,2,0,0,0,65856,79402,R,0.083,0.263,139.0,커터,8,144.0,8,B,김상수 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180502SKSS02018,1,1,0,1,2,2,0,0,0,65856,79402,R,0.083,0.263,136.0,체인지업,9,142.4,9,H,김상수 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180502SKSS02018,1,1,0,2,0,1,0,0,0,65856,75566,R,0.273,0.298,135.0,체인지업,10,139.8,10,T,이원석 :  볼넷,
20180502SKSS02018,1,1,0,2,1,1,0,0,0,65856,75566,R,0.273,0.298,149.0,직구,11,140.2,11,B,이원석 :  볼넷,
20180502SKSS02018,1,1,0,2,2,1,0,0,0,65856,75566,R,0.273,0.298,141.0,커터,12,140.0,12,B,이원석 :  볼넷,
20180502SKSS02018,1,1,0,2,2,2,0,0,0,65856,75566,R,0.273,0.298,149.0,직구,13,142.0,13,S,이원석 :  볼넷,
