game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20180614HHWO02018,1,0,0,0,1,0,0,0,0,65392,61700,L,0.0,0.636,143.0,직구,1,143.0,1,B,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,0,1,1,0,0,0,65392,61700,L,0.0,0.636,140.0,직구,2,141.5,2,T,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,0,1,2,0,0,0,65392,61700,L,0.0,0.636,133.0,슬라이더,3,138.67,3,F,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,0,2,2,0,0,0,65392,61700,L,0.0,0.636,144.0,직구,4,140.0,4,B,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,0,3,2,0,0,0,65392,61700,L,0.0,0.636,144.0,직구,5,140.8,5,B,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,0,3,2,0,0,0,65392,61700,L,0.0,0.636,143.0,직구,6,140.8,6,H,강경학 : 3루수 파울플라이 아웃 ,
20180614HHWO02018,1,0,0,1,0,1,0,0,0,65392,74163,L,0.0,0.289,144.0,직구,7,141.6,7,T,이용규 :  삼진 아웃 ,
20180614HHWO02018,1,0,0,1,1,1,0,0,0,65392,74163,L,0.0,0.289,118.0,커브,8,138.6,8,B,이용규 :  삼진 아웃 ,
20180614HHWO02018,1,0,0,1,1,2,0,0,0,65392,74163,L,0.0,0.289,136.0,투심,9,137.0,9,T,이용규 :  삼진 아웃 ,
20180614HHWO02018,1,0,0,1,2,2,0,0,0,65392,74163,L,0.0,0.289,146.0,직구,10,137.4,10,B,이용규 :  삼진 아웃 ,
20180614HHWO02018,1,0,0,1,2,3,0,0,0,65392,74163,L,0.0,0.289,143.0,직구,11,137.4,11,S,이용규 :  삼진 아웃 ,
20180614HHWO02018,1,0,0,2,0,1,0,0,0,65392,73136,L,0.0,1.0,143.0,직구,12,137.2,12,T,이성열 : 중견수 오른쪽 1루타,
20180614HHWO02018,1,0,0,2,1,1,0,0,0,65392,73136,L,0.0,1.0,141.0,직구,13,141.8,13,B,이성열 : 중견수 오른쪽 1루타,
20180614HHWO02018,1,0,0,2,2,1,0,0,0,65392,73136,L,0.0,1.0,117.0,커브,14,138.0,14,B,이성열 : 중견수 오른쪽 1루타,
20180614HHWO02018,1,0,0,2,2,2,0,0,0,65392,73136,L,0.0,1.0,119.0,커브,15,132.6,15,F,이성열 : 중견수 오른쪽 1루타,
20180614HHWO02018,1,0,0,2,2,2,0,0,0,65392,73136,L,0.0,1.0,120.0,커브,16,128.0,16,H,이성열 : 중견수 오른쪽 1루타,
20180614HHWO02018,1,0,0,2,0,1,1,0,0,65392,68730,L,0.0,0.338,144.0,직구,17,128.2,17,F,호잉 : 좌익수 플라이 아웃 ,
20180614HHWO02018,1,0,0,2,0,1,1,0,0,65392,68730,L,0.0,0.338,141.0,직구,18,128.2,18,H,호잉 : 좌익수 플라이 아웃 ,
20180614HHWO02018,1,1,0,0,1,0,0,0,0,66741,67341,L,0.436,0.318,137.0,직구,1,137.0,1,B,이정후 :  볼넷,
20180614HHWO02018,1,1,0,0,2,0,0,0,0,66741,67341,L,0.436,0.318,123.0,포크,2,130.0,2,B,이정후 :  볼넷,
20180614HHWO02018,1,1,0,0,3,0,0,0,0,66741,67341,L,0.436,0.318,136.0,직구,3,132.0,3,B,이정후 :  볼넷,
20180614HHWO02018,1,1,0,0,3,1,0,0,0,66741,67341,L,0.436,0.318,134.0,직구,4,132.5,4,T,이정후 :  볼넷,
20180614HHWO02018,1,1,0,0,4,1,0,0,0,66741,67341,L,0.436,0.318,135.0,직구,5,133.0,5,B,이정후 :  볼넷,
20180614HHWO02018,1,1,0,0,1,0,1,0,0,66741,62356,L,0.222,0.342,135.0,직구,6,132.6,6,B,김규민 : 중견수 플라이 아웃 ,
20180614HHWO02018,1,1,0,0,1,1,1,0,0,66741,62356,L,0.222,0.342,135.0,직구,7,135.0,7,T,김규민 : 중견수 플라이 아웃 ,
20180614HHWO02018,1,1,0,0,1,2,1,0,0,66741,62356,L,0.222,0.342,134.0,직구,8,134.6,8,F,김규민 : 중견수 플라이 아웃 ,
20180614HHWO02018,1,1,0,0,2,2,1,0,0,66741,62356,L,0.222,0.342,126.0,포크,9,133.0,9,B,김규민 : 중견수 플라이 아웃 ,
20180614HHWO02018,1,1,0,0,2,2,1,0,0,66741,62356,L,0.222,0.342,124.0,포크,10,130.8,10,H,김규민 : 중견수 플라이 아웃 ,
20180614HHWO02018,1,1,0,1,0,0,1,0,0,66741,64300,R,0.302,1.0,139.0,직구,11,131.6,11,H,김하성 : 우익수 오른쪽 1루타,
20180614HHWO02018,1,1,0,2,1,0,0,0,1,66741,75125,R,0.286,0.32,126.0,포크,12,129.8,12,B,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180614HHWO02018,1,1,0,2,1,1,0,0,1,66741,75125,R,0.286,0.32,140.0,직구,13,131.0,13,F,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180614HHWO02018,1,1,0,2,1,1,0,0,1,66741,75125,R,0.286,0.32,129.0,포크,14,131.6,14,H,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20180614HHWO02018,2,0,0,0,0,1,0,0,0,65392,76753,R,0.0,1.0,140.0,직구,19,132.8,1,T,송광민 : 중견수 앞 1루타,
20180614HHWO02018,2,0,0,0,0,1,0,0,0,65392,76753,R,0.0,1.0,129.0,슬라이더,20,134.8,2,H,송광민 : 중견수 앞 1루타,
20180614HHWO02018,2,0,0,0,0,1,1,0,0,65392,60100,R,0.0,1.0,130.0,슬라이더,21,136.8,3,T,백창수 : 좌익수 왼쪽 2루타,
20180614HHWO02018,2,0,0,0,1,1,1,0,0,65392,60100,R,0.0,1.0,140.0,직구,22,136.0,4,B,백창수 : 좌익수 왼쪽 2루타,
20180614HHWO02018,2,0,0,0,1,2,1,0,0,65392,60100,R,0.0,1.0,140.0,투심,23,135.8,5,F,백창수 : 좌익수 왼쪽 2루타,
20180614HHWO02018,2,0,0,0,1,2,1,0,0,65392,60100,R,0.0,1.0,134.0,포크,24,134.6,6,H,백창수 : 좌익수 왼쪽 2루타,
20180614HHWO02018,2,0,-1,0,0,1,0,1,0,65392,62700,L,0.0,0.231,135.0,포크,25,135.8,7,W,하주석 :  삼진 아웃 ,
20180614HHWO02018,2,0,-1,0,1,1,0,1,0,65392,62700,L,0.0,0.231,137.0,포크,26,137.2,8,B,하주석 :  삼진 아웃 ,
20180614HHWO02018,2,0,-1,0,1,2,0,1,0,65392,62700,L,0.0,0.231,149.0,직구,27,139.0,9,F,하주석 :  삼진 아웃 ,
20180614HHWO02018,2,0,-1,0,1,3,0,1,0,65392,62700,L,0.0,0.231,137.0,포크,28,138.4,10,T,하주석 :  삼진 아웃 ,
20180614HHWO02018,2,0,-1,1,1,0,0,1,0,65392,68743,L,0.0,0.241,134.0,포크,29,138.4,11,B,정은원 : 좌익수 플라이 아웃 ,
20180614HHWO02018,2,0,-1,1,1,1,0,1,0,65392,68743,L,0.0,0.241,143.0,직구,30,140.0,12,F,정은원 : 좌익수 플라이 아웃 ,
20180614HHWO02018,2,0,-1,1,1,1,0,1,0,65392,68743,L,0.0,0.241,143.0,직구,31,141.2,13,H,정은원 : 좌익수 플라이 아웃 ,
20180614HHWO02018,2,0,-1,2,0,1,0,1,0,65392,78288,R,0.0,0.19,143.0,직구,32,140.0,14,T,최재훈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180614HHWO02018,2,0,-1,2,0,1,0,1,0,65392,78288,R,0.0,0.19,144.0,직구,33,141.4,15,H,최재훈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180614HHWO02018,2,1,-1,0,0,1,0,0,0,66741,61353,L,0.292,1.0,136.0,직구,15,134.0,1,F,고종욱 : 좌익수 뒤 2루타,
20180614HHWO02018,2,1,-1,0,0,1,0,0,0,66741,61353,L,0.292,1.0,138.0,직구,16,133.8,2,H,고종욱 : 좌익수 뒤 2루타,
20180614HHWO02018,2,1,-1,0,1,0,0,1,0,66741,77564,R,0.208,0.282,125.0,포크,17,133.6,3,B,김민성 : 우익수 플라이 아웃 ,
20180614HHWO02018,2,1,-1,0,2,0,0,1,0,66741,77564,R,0.208,0.282,123.0,포크,18,130.2,4,B,김민성 : 우익수 플라이 아웃 ,
