game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20190421WOLG02019,1,0,0,0,0,1,0,0,0,68135,78168,L,0.0,0.253,143.0,직구,1,143.0,1,T,서건창 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,0,0,0,0,2,0,0,0,68135,78168,L,0.0,0.253,145.0,직구,2,144.0,2,F,서건창 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,0,0,0,0,2,0,0,0,68135,78168,L,0.0,0.253,146.0,직구,3,144.67,3,F,서건창 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,0,0,0,0,2,0,0,0,68135,78168,L,0.0,0.253,129.0,커브,4,140.75,4,H,서건창 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,0,0,1,1,0,0,0,0,68135,64300,R,0.0,0.354,143.0,직구,5,141.2,5,B,김하성 : 중견수 플라이 아웃 ,
20190421WOLG02019,1,0,0,1,1,0,0,0,0,68135,64300,R,0.0,0.354,144.0,직구,6,141.4,6,H,김하성 : 중견수 플라이 아웃 ,
20190421WOLG02019,1,0,0,2,0,1,0,0,0,68135,75125,R,0.0,0.344,142.0,투심,7,140.8,7,T,박병호 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,1,0,0,2,1,1,0,0,0,68135,75125,R,0.0,0.344,144.0,투심,8,140.4,8,B,박병호 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,1,0,0,2,2,1,0,0,0,68135,75125,R,0.0,0.344,144.0,투심,9,143.4,9,B,박병호 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,1,0,0,2,2,2,0,0,0,68135,75125,R,0.0,0.344,127.0,커브,10,140.2,10,F,박병호 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,1,0,0,2,2,2,0,0,0,68135,75125,R,0.0,0.344,145.0,투심,11,140.4,11,H,박병호 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,1,1,0,0,0,1,0,0,0,67313,61186,L,0.375,0.286,142.0,투심,1,142.0,1,F,이천웅 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,1,0,0,0,1,0,0,0,67313,61186,L,0.375,0.286,142.0,투심,2,142.0,2,H,이천웅 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,1,1,0,1,0,1,0,0,0,67313,79109,L,0.0,0.22,142.0,투심,3,142.0,3,T,오지환 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,1,0,2,0,0,0,67313,79109,L,0.0,0.22,141.0,투심,4,141.75,4,T,오지환 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,1,1,2,0,0,0,67313,79109,L,0.0,0.22,118.0,커브,5,137.0,5,B,오지환 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,1,1,3,0,0,0,67313,79109,L,0.0,0.22,136.0,슬라이더,6,135.8,6,S,오지환 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,2,1,0,0,0,0,67313,72133,L,0.286,0.247,141.0,투심,7,135.6,7,B,박용택 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,2,1,1,0,0,0,67313,72133,L,0.286,0.247,144.0,투심,8,136.0,8,T,박용택 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,2,2,1,0,0,0,67313,72133,L,0.286,0.247,143.0,투심,9,136.4,9,B,박용택 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,2,2,2,0,0,0,67313,72133,L,0.286,0.247,143.0,투심,10,141.4,10,F,박용택 :  삼진 아웃 ,
20190421WOLG02019,1,1,0,2,2,3,0,0,0,67313,72133,L,0.286,0.247,130.0,포크,11,140.2,11,T,박용택 :  삼진 아웃 ,
20190421WOLG02019,2,0,0,0,0,1,0,0,0,68135,68345,R,0.0,0.352,141.0,투심,12,140.2,1,F,샌즈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,0,0,2,0,0,0,68135,68345,R,0.0,0.352,145.0,투심,13,140.4,2,T,샌즈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,0,0,2,0,0,0,68135,68345,R,0.0,0.352,143.0,투심,14,140.2,3,H,샌즈 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,1,0,1,0,0,0,68135,79334,R,0.0,0.313,141.0,투심,15,143.0,4,T,장영석 :  삼진 아웃 ,
20190421WOLG02019,2,0,0,1,1,1,0,0,0,68135,79334,R,0.0,0.313,144.0,투심,16,142.8,5,B,장영석 :  삼진 아웃 ,
20190421WOLG02019,2,0,0,1,1,2,0,0,0,68135,79334,R,0.0,0.313,129.0,커브,17,140.4,6,F,장영석 :  삼진 아웃 ,
20190421WOLG02019,2,0,0,1,1,3,0,0,0,68135,79334,R,0.0,0.313,146.0,투심,18,140.6,7,S,장영석 :  삼진 아웃 ,
20190421WOLG02019,2,0,0,2,0,1,0,0,0,68135,62356,L,0.0,0.211,144.0,투심,19,140.8,8,T,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,2,0,2,0,0,0,68135,62356,L,0.0,0.211,130.0,커브,20,138.6,9,S,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,2,1,2,0,0,0,68135,62356,L,0.0,0.211,128.0,커브,21,135.4,10,B,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,2,1,2,0,0,0,68135,62356,L,0.0,0.211,146.0,직구,22,138.8,11,F,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,2,2,2,0,0,0,68135,62356,L,0.0,0.211,145.0,투심,23,138.6,12,B,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,0,0,2,2,2,0,0,0,68135,62356,L,0.0,0.211,145.0,투심,24,138.8,13,H,김규민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190421WOLG02019,2,1,0,0,0,1,0,0,0,67313,76290,L,0.333,0.301,143.0,투심,12,140.6,1,F,김현수 : 중견수 플라이 아웃 ,
20190421WOLG02019,2,1,0,0,1,1,0,0,0,67313,76290,L,0.333,0.301,144.0,직구,13,140.6,2,B,김현수 : 중견수 플라이 아웃 ,
20190421WOLG02019,2,1,0,0,1,1,0,0,0,67313,76290,L,0.333,0.301,129.0,체인지업,14,137.8,3,H,김현수 : 중견수 플라이 아웃 ,
20190421WOLG02019,2,1,0,1,1,0,0,0,0,67313,79192,R,0.25,0.333,140.0,투심,15,137.2,4,B,채은성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,1,1,0,0,0,0,67313,79192,R,0.25,0.333,144.0,투심,16,140.0,5,H,채은성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,2,0,1,0,0,0,67313,61102,R,0.2,0.234,118.0,커브,17,135.0,6,T,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,1,1,0,0,0,67313,61102,R,0.2,0.234,129.0,체인지업,18,132.0,7,B,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,1,2,0,0,0,67313,61102,R,0.2,0.234,144.0,직구,19,135.0,8,T,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,1,2,0,0,0,67313,61102,R,0.2,0.234,135.0,슬라이더,20,134.0,9,F,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,2,2,0,0,0,67313,61102,R,0.2,0.234,147.0,직구,21,134.6,10,B,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,2,2,0,0,0,67313,61102,R,0.2,0.234,125.0,커브,22,136.0,11,F,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,3,2,0,0,0,67313,61102,R,0.2,0.234,126.0,커브,23,135.4,12,B,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,4,2,0,0,0,67313,61102,R,0.2,0.234,147.0,투심,24,136.0,13,B,유강남 :  볼넷,
20190421WOLG02019,2,1,0,2,1,0,1,0,0,67313,77564,R,0.375,0.222,144.0,투심,25,137.8,14,B,김민성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,2,1,1,1,0,0,67313,77564,R,0.375,0.222,145.0,투심,26,137.4,15,S,김민성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,2,2,1,1,0,0,67313,77564,R,0.375,0.222,145.0,투심,27,141.4,16,B,김민성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,2,2,2,1,0,0,67313,77564,R,0.375,0.222,138.0,슬라이더,28,143.8,17,F,김민성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,2,1,0,2,2,2,1,0,0,67313,77564,R,0.375,0.222,136.0,슬라이더,29,141.6,18,H,김민성 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20190421WOLG02019,3,0,0,0,0,1,0,0,0,68135,79456,R,0.0,1.0,140.0,투심,25,140.8,1,T,이지영 : 우익수 앞 1루타,
20190421WOLG02019,3,0,0,0,0,2,0,0,0,68135,79456,R,0.0,1.0,142.0,투심,26,143.6,2,F,이지영 : 우익수 앞 1루타,
20190421WOLG02019,3,0,0,0,0,2,0,0,0,68135,79456,R,0.0,1.0,131.0,커브,27,140.6,3,H,이지영 : 우익수 앞 1루타,
20190421WOLG02019,3,0,0,0,0,1,1,0,0,68135,67304,L,0.0,0.167,142.0,커터,28,140.0,4,F,김혜성 :  삼진 아웃 ,
20190421WOLG02019,3,0,0,0,0,2,1,0,0,68135,67304,L,0.0,0.167,145.0,직구,29,140.0,5,T,김혜성 :  삼진 아웃 ,
20190421WOLG02019,3,0,0,0,1,2,1,0,0,68135,67304,L,0.0,0.167,131.0,슬라이더,30,138.2,6,B,김혜성 :  삼진 아웃 ,
20190421WOLG02019,3,0,0,0,1,3,1,0,0,68135,67304,L,0.0,0.167,143.0,직구,31,138.4,7,S,김혜성 :  삼진 아웃 ,
20190421WOLG02019,3,0,0,1,1,0,1,0,0,68135,62353,L,0.0,1.0,130.0,체인지업,32,138.2,8,B,박정음 : 3루수 앞 내야안타,
20190421WOLG02019,3,0,0,1,1,1,1,0,0,68135,62353,L,0.0,1.0,140.0,투심,33,137.8,9,W,박정음 : 3루수 앞 내야안타,
20190421WOLG02019,3,0,0,1,1,2,1,0,0,68135,62353,L,0.0,1.0,142.0,투심,34,137.2,10,S,박정음 : 3루수 앞 내야안타,
20190421WOLG02019,3,0,0,1,1,2,0,1,0,68135,62353,L,0.0,1.0,144.0,투심,35,139.8,11,H,박정음 : 3루수 앞 내야안타,
20190421WOLG02019,3,0,-1,1,0,1,1,0,0,68135,78168,L,0.0,0.253,140.0,투심,36,139.2,12,T,서건창 : 중견수 플라이 아웃 ,
20190421WOLG02019,3,0,-1,1,1,1,1,0,0,68135,78168,L,0.0,0.253,130.0,체인지업,37,139.2,13,B,서건창 : 중견수 플라이 아웃 ,
20190421WOLG02019,3,0,-1,1,1,1,1,0,0,68135,78168,L,0.0,0.253,126.0,체인지업,38,136.4,14,H,서건창 : 중견수 플라이 아웃 ,
