game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20190427LGSS02019,1,0,0,0,0,1,0,0,0,69413,61186,L,0.0,0.333,145.0,직구,1,145.0,1,T,이천웅 :  삼진 아웃 ,
20190427LGSS02019,1,0,0,0,0,2,0,0,0,69413,61186,L,0.0,0.333,117.0,커브,2,131.0,2,F,이천웅 :  삼진 아웃 ,
20190427LGSS02019,1,0,0,0,0,2,0,0,0,69413,61186,L,0.0,0.333,146.0,직구,3,136.0,3,F,이천웅 :  삼진 아웃 ,
20190427LGSS02019,1,0,0,0,1,2,0,0,0,69413,61186,L,0.0,0.333,131.0,슬라이더,4,134.75,4,B,이천웅 :  삼진 아웃 ,
20190427LGSS02019,1,0,0,0,1,3,0,0,0,69413,61186,L,0.0,0.333,130.0,슬라이더,5,133.8,5,S,이천웅 :  삼진 아웃 ,
20190427LGSS02019,1,0,0,1,1,0,0,0,0,69413,79109,L,0.0,1.0,144.0,직구,6,133.6,6,B,오지환 : 중견수 왼쪽 1루타,
20190427LGSS02019,1,0,0,1,1,0,0,0,0,69413,79109,L,0.0,1.0,146.0,직구,7,139.4,7,H,오지환 : 중견수 왼쪽 1루타,
20190427LGSS02019,1,0,0,1,1,0,1,0,0,69413,76290,L,0.0,0.309,118.0,커브,8,133.8,8,B,김현수 :  볼넷,
20190427LGSS02019,1,0,0,1,1,1,1,0,0,69413,76290,L,0.0,0.309,137.0,체인지업,9,135.0,9,F,김현수 :  볼넷,
20190427LGSS02019,1,0,0,1,2,1,1,0,0,69413,76290,L,0.0,0.309,135.0,슬라이더,10,136.0,10,B,김현수 :  볼넷,
20190427LGSS02019,1,0,0,1,3,1,1,0,0,69413,76290,L,0.0,0.309,132.0,슬라이더,11,133.6,11,B,김현수 :  볼넷,
20190427LGSS02019,1,0,0,1,3,2,1,0,0,69413,76290,L,0.0,0.309,145.0,직구,12,133.4,12,F,김현수 :  볼넷,
20190427LGSS02019,1,0,0,2,4,2,0,0,0,69413,76290,L,0.0,0.309,134.0,슬라이더,13,136.6,13,B,김현수 :  볼넷,
20190427LGSS02019,1,0,0,2,0,1,1,0,0,69413,79192,R,0.0,0.337,144.0,직구,14,138.0,14,F,채은성 : 유격수 앞 땅볼로 출루 ,
20190427LGSS02019,1,0,0,2,1,1,1,0,0,69413,79192,R,0.0,0.337,119.0,커브,15,134.8,15,B,채은성 : 유격수 앞 땅볼로 출루 ,
20190427LGSS02019,1,0,0,2,1,2,1,0,0,69413,79192,R,0.0,0.337,131.0,슬라이더,16,134.6,16,T,채은성 : 유격수 앞 땅볼로 출루 ,
20190427LGSS02019,1,0,0,2,1,2,1,0,0,69413,79192,R,0.0,0.337,146.0,직구,17,134.8,17,H,채은성 : 유격수 앞 땅볼로 출루 ,
20190427LGSS02019,1,1,0,0,0,0,0,0,0,68135,62415,L,0.5,0.293,142.0,직구,1,142.0,1,H,박해민 : 중견수 플라이 아웃 ,
20190427LGSS02019,1,1,0,1,1,0,0,0,0,68135,79402,R,0.0,0.283,143.0,직구,2,142.5,2,B,김상수 : 중견수 플라이 아웃 ,
20190427LGSS02019,1,1,0,1,1,0,0,0,0,68135,79402,R,0.0,0.283,142.0,직구,3,142.33,3,H,김상수 : 중견수 플라이 아웃 ,
20190427LGSS02019,1,1,0,2,0,1,0,0,0,68135,62404,L,0.286,0.309,141.0,투심,4,142.0,4,F,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,1,1,0,2,1,1,0,0,0,68135,62404,L,0.286,0.309,131.0,체인지업,5,139.8,5,B,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,1,1,0,2,1,2,0,0,0,68135,62404,L,0.286,0.309,128.0,커브,6,137.0,6,T,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,1,1,0,2,2,2,0,0,0,68135,62404,L,0.286,0.309,145.0,직구,7,137.4,7,B,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,1,1,0,2,3,2,0,0,0,68135,62404,L,0.286,0.309,132.0,슬라이더,8,135.4,8,B,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,1,1,0,2,3,2,0,0,0,68135,62404,L,0.286,0.309,144.0,직구,9,136.0,9,H,구자욱 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,2,0,0,0,1,0,0,0,0,69413,61102,R,0.0,1.0,145.0,직구,18,137.0,1,B,유강남 : 좌익수 뒤 홈런 (홈런거리:115M) ,
20190427LGSS02019,2,0,0,0,1,0,0,0,0,69413,61102,R,0.0,1.0,145.0,직구,19,137.2,2,H,유강남 : 좌익수 뒤 홈런 (홈런거리:115M) ,
20190427LGSS02019,2,0,-1,0,0,1,0,0,0,69413,72133,L,0.0,0.227,128.0,슬라이더,20,139.0,3,T,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,0,2,0,0,0,69413,72133,L,0.0,0.227,146.0,직구,21,142.0,4,T,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,1,2,0,0,0,69413,72133,L,0.0,0.227,147.0,직구,22,142.2,5,B,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,2,2,0,0,0,69413,72133,L,0.0,0.227,147.0,직구,23,142.6,6,B,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,2,2,0,0,0,69413,72133,L,0.0,0.227,118.0,커브,24,137.2,7,F,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,3,2,0,0,0,69413,72133,L,0.0,0.227,135.0,슬라이더,25,138.6,8,B,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,4,2,0,0,0,69413,72133,L,0.0,0.227,146.0,직구,26,138.6,9,B,박용택 :  볼넷,
20190427LGSS02019,2,0,-1,0,0,1,1,0,0,69413,77564,R,0.0,0.2,144.0,직구,27,138.0,10,T,김민성 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,0,0,1,1,0,0,69413,77564,R,0.0,0.2,132.0,슬라이더,28,135.0,11,H,김민성 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,0,0,1,1,1,0,69413,78217,L,0.0,0.182,144.0,직구,29,140.2,12,W,김용의 : 투수 희생번트 아웃 (투수->2루수 1루 터치아웃),
20190427LGSS02019,2,0,-1,0,1,1,1,1,0,69413,78217,L,0.0,0.182,142.0,직구,30,141.6,13,B,김용의 : 투수 희생번트 아웃 (투수->2루수 1루 터치아웃),
20190427LGSS02019,2,0,-1,0,1,1,1,1,0,69413,78217,L,0.0,0.182,144.0,직구,31,141.2,14,H,김용의 : 투수 희생번트 아웃 (투수->2루수 1루 터치아웃),
20190427LGSS02019,2,0,-1,1,0,1,0,1,1,69413,79150,R,0.0,1.0,134.0,슬라이더,32,139.2,15,T,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,1,1,1,0,1,1,69413,79150,R,0.0,1.0,145.0,직구,33,141.8,16,B,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,1,2,1,0,1,1,69413,79150,R,0.0,1.0,132.0,슬라이더,34,139.4,17,B,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,1,2,2,0,1,1,69413,79150,R,0.0,1.0,132.0,슬라이더,35,137.4,18,T,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,1,3,2,0,1,1,69413,79150,R,0.0,1.0,131.0,슬라이더,36,134.8,19,B,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-1,1,3,2,0,1,1,69413,79150,R,0.0,1.0,131.0,슬라이더,37,134.2,20,H,정주현 : 좌익수 앞 1루타,
20190427LGSS02019,2,0,-3,1,0,1,1,0,0,69413,61186,L,0.0,0.333,145.0,직구,38,134.2,21,T,이천웅 :  삼진 아웃 ,
20190427LGSS02019,2,0,-3,2,1,1,0,0,0,69413,61186,L,0.0,0.333,147.0,직구,39,137.2,22,B,이천웅 :  삼진 아웃 ,
20190427LGSS02019,2,0,-3,2,1,2,0,0,0,69413,61186,L,0.0,0.333,119.0,커브,40,134.6,23,S,이천웅 :  삼진 아웃 ,
20190427LGSS02019,2,0,-3,2,1,3,0,0,0,69413,61186,L,0.0,0.333,147.0,직구,41,137.8,24,T,이천웅 :  삼진 아웃 ,
20190427LGSS02019,2,1,-3,0,0,1,0,0,0,68135,75566,R,0.286,0.292,141.0,직구,10,138.0,1,T,이원석 :  삼진 아웃 ,
20190427LGSS02019,2,1,-3,0,1,1,0,0,0,68135,75566,R,0.286,0.292,126.0,커브,11,137.6,2,B,이원석 :  삼진 아웃 ,
20190427LGSS02019,2,1,-3,0,1,2,0,0,0,68135,75566,R,0.286,0.292,128.0,커브,12,134.2,3,F,이원석 :  삼진 아웃 ,
20190427LGSS02019,2,1,-3,0,1,3,0,0,0,68135,75566,R,0.286,0.292,142.0,투심,13,136.2,4,S,이원석 :  삼진 아웃 ,
20190427LGSS02019,2,1,-3,1,0,1,0,0,0,68135,74540,R,0.167,1.0,143.0,직구,14,136.0,5,F,강민호 : 중견수 왼쪽 1루타,
20190427LGSS02019,2,1,-3,1,0,1,0,0,0,68135,74540,R,0.167,1.0,143.0,투심,15,136.4,6,H,강민호 : 중견수 왼쪽 1루타,
20190427LGSS02019,2,1,-3,1,0,1,1,0,0,68135,61197,R,0.0,1.0,141.0,투심,16,139.4,7,T,최영진 : 우중간 1루타,
20190427LGSS02019,2,1,-3,1,0,2,1,0,0,68135,61197,R,0.0,1.0,132.0,슬라이더,17,140.2,8,S,최영진 : 우중간 1루타,
20190427LGSS02019,2,1,-3,1,0,2,1,0,0,68135,61197,R,0.0,1.0,132.0,슬라이더,18,138.2,9,H,최영진 : 우중간 1루타,
20190427LGSS02019,2,1,-3,1,0,1,1,1,0,68135,61404,R,0.143,0.25,143.0,투심,19,138.2,10,T,김헌곤 : 3루수 병살타 아웃 (3루수->1루수 송구아웃),
20190427LGSS02019,2,1,-3,1,0,1,1,1,0,68135,61404,R,0.143,0.25,132.0,슬라이더,20,136.0,11,H,김헌곤 : 3루수 병살타 아웃 (3루수->1루수 송구아웃),
20190427LGSS02019,3,0,-3,0,0,1,0,0,0,69413,79109,L,0.0,0.5,118.0,커브,42,135.2,1,T,오지환 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,3,0,-3,0,0,1,0,0,0,69413,79109,L,0.0,0.5,142.0,직구,43,134.6,2,H,오지환 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190427LGSS02019,3,0,-3,1,0,0,0,0,0,69413,76290,L,0.0,0.309,140.0,직구,44,133.2,3,H,김현수 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190427LGSS02019,3,0,-3,2,1,0,0,0,0,69413,79192,R,0.0,0.337,132.0,슬라이더,45,135.8,4,B,채은성 :  삼진 아웃 ,
20190427LGSS02019,3,0,-3,2,1,1,0,0,0,69413,79192,R,0.0,0.337,144.0,직구,46,135.2,5,F,채은성 :  삼진 아웃 ,
20190427LGSS02019,3,0,-3,2,1,2,0,0,0,69413,79192,R,0.0,0.337,130.0,슬라이더,47,137.6,6,S,채은성 :  삼진 아웃 ,
20190427LGSS02019,3,0,-3,2,1,3,0,0,0,69413,79192,R,0.0,0.337,145.0,직구,48,138.2,7,T,채은성 :  삼진 아웃 ,
20190427LGSS02019,3,1,-3,0,0,1,0,0,0,68135,69453,L,0.167,0.235,142.0,직구,21,136.2,1,F,이학주 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20190427LGSS02019,3,1,-3,0,0,2,0,0,0,68135,69453,L,0.167,0.235,144.0,직구,22,138.6,2,F,이학주 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20190427LGSS02019,3,1,-3,0,1,2,0,0,0,68135,69453,L,0.167,0.235,129.0,커브,23,138.0,3,B,이학주 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20190427LGSS02019,3,1,-3,0,1,2,0,0,0,68135,69453,L,0.167,0.235,129.0,커브,24,135.2,4,F,이학주 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20190427LGSS02019,3,1,-3,0,1,2,0,0,0,68135,69453,L,0.167,0.235,133.0,체인지업,25,135.4,5,H,이학주 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
