game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20230510OBLT02023,1,0,0,0,1,0,0,0,0,52528,79231,L,0.0,0.272,144.0,직구,1,144.0,1,B,정수빈 : 중견수 플라이 아웃,
20230510OBLT02023,1,0,0,0,2,0,0,0,0,52528,79231,L,0.0,0.272,144.0,직구,2,144.0,2,B,정수빈 : 중견수 플라이 아웃,
20230510OBLT02023,1,0,0,0,2,1,0,0,0,52528,79231,L,0.0,0.272,144.0,직구,3,144.0,3,T,정수빈 : 중견수 플라이 아웃,
20230510OBLT02023,1,0,0,0,2,1,0,0,0,52528,79231,L,0.0,0.272,145.0,직구,4,144.25,4,H,정수빈 : 중견수 플라이 아웃,
20230510OBLT02023,1,0,0,1,0,1,0,0,0,52528,53211,L,0.0,0.202,130.0,슬라이더,5,141.4,5,S,로하스 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20230510OBLT02023,1,0,0,1,0,2,0,0,0,52528,53211,L,0.0,0.202,129.0,슬라이더,6,138.4,6,T,로하스 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20230510OBLT02023,1,0,0,1,0,2,0,0,0,52528,53211,L,0.0,0.202,128.0,슬라이더,7,135.2,7,H,로하스 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃),
20230510OBLT02023,1,0,0,2,0,1,0,0,0,52528,78224,L,0.0,0.273,129.0,슬라이더,8,132.2,8,T,김재환 : 삼진 아웃,
20230510OBLT02023,1,0,0,2,0,2,0,0,0,52528,78224,L,0.0,0.273,146.0,직구,9,132.4,9,F,김재환 : 삼진 아웃,
20230510OBLT02023,1,0,0,2,0,3,0,0,0,52528,78224,L,0.0,0.273,129.0,슬라이더,10,132.2,10,T,김재환 : 삼진 아웃,
20230510OBLT02023,1,1,0,0,0,1,0,0,0,67263,53554,L,0.333,0.25,138.0,직구,1,138.0,1,T,김민석 : 삼진 아웃,
20230510OBLT02023,1,1,0,0,0,2,0,0,0,67263,53554,L,0.333,0.25,137.0,직구,2,137.5,2,F,김민석 : 삼진 아웃,
20230510OBLT02023,1,1,0,0,0,2,0,0,0,67263,53554,L,0.333,0.25,140.0,직구,3,138.33,3,F,김민석 : 삼진 아웃,
20230510OBLT02023,1,1,0,0,0,3,0,0,0,67263,53554,L,0.333,0.25,139.0,직구,4,138.5,4,S,김민석 : 삼진 아웃,
20230510OBLT02023,1,1,0,1,1,0,0,0,0,67263,69517,L,0.154,0.247,138.0,직구,5,138.4,5,B,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,1,0,0,0,67263,69517,L,0.154,0.247,139.0,직구,6,138.6,6,T,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,2,0,0,0,67263,69517,L,0.154,0.247,138.0,직구,7,138.8,7,T,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,2,0,0,0,67263,69517,L,0.154,0.247,139.0,직구,8,138.6,8,F,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,2,0,0,0,67263,69517,L,0.154,0.247,138.0,직구,9,138.4,9,F,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,2,0,0,0,67263,69517,L,0.154,0.247,112.0,커브,10,133.2,10,F,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,1,1,2,0,0,0,67263,69517,L,0.154,0.247,140.0,직구,11,133.4,11,H,고승민 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230510OBLT02023,1,1,0,2,0,1,0,0,0,67263,78513,R,0.231,0.269,139.0,직구,12,133.6,12,F,전준우 : 삼진 아웃,
20230510OBLT02023,1,1,0,2,0,2,0,0,0,67263,78513,R,0.231,0.269,141.0,직구,13,134.0,13,F,전준우 : 삼진 아웃,
20230510OBLT02023,1,1,0,2,1,2,0,0,0,67263,78513,R,0.231,0.269,130.0,슬라이더,14,132.4,14,B,전준우 : 삼진 아웃,
20230510OBLT02023,1,1,0,2,1,3,0,0,0,67263,78513,R,0.231,0.269,130.0,슬라이더,15,136.0,15,S,전준우 : 삼진 아웃,
20230510OBLT02023,2,0,0,0,0,1,0,0,0,52528,76232,R,0.0,0.278,143.0,투심,11,135.0,1,T,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,0,2,0,0,0,52528,76232,R,0.0,0.278,144.0,투심,12,138.2,2,T,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,1,2,0,0,0,52528,76232,R,0.0,0.278,129.0,슬라이더,13,138.2,3,B,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,2,2,0,0,0,52528,76232,R,0.0,0.278,128.0,슬라이더,14,134.6,4,B,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,3,2,0,0,0,52528,76232,R,0.0,0.278,144.0,직구,15,137.6,5,B,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,4,2,0,0,0,52528,76232,R,0.0,0.278,143.0,직구,16,137.6,6,B,양의지 : 볼넷,
20230510OBLT02023,2,0,0,0,0,1,1,0,0,52528,64153,R,0.0,1.0,129.0,체인지업,17,134.6,7,S,양석환 : 좌익수 앞 1루타,
20230510OBLT02023,2,0,0,0,1,1,1,0,0,52528,64153,R,0.0,1.0,128.0,체인지업,18,134.4,8,B,양석환 : 좌익수 앞 1루타,
20230510OBLT02023,2,0,0,0,1,1,1,0,0,52528,64153,R,0.0,1.0,129.0,체인지업,19,134.6,9,H,양석환 : 좌익수 앞 1루타,
20230510OBLT02023,2,0,0,0,0,1,1,1,0,52528,79240,R,0.0,0.281,128.0,체인지업,20,131.4,10,T,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,0,1,1,1,1,0,52528,79240,R,0.0,0.281,128.0,슬라이더,21,128.4,11,B,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,0,1,2,1,1,0,52528,79240,R,0.0,0.281,128.0,체인지업,22,128.2,12,S,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,0,2,2,1,1,0,52528,79240,R,0.0,0.281,144.0,직구,23,131.4,13,B,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,0,3,2,1,1,0,52528,79240,R,0.0,0.281,128.0,슬라이더,24,131.2,14,B,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,0,3,2,1,1,0,52528,79240,R,0.0,0.281,145.0,직구,25,134.6,15,H,허경민 : 유격수 앞 땅볼로 출루,
20230510OBLT02023,2,0,0,1,0,1,1,1,0,52528,50293,L,0.0,0.317,127.0,슬라이더,26,134.4,16,T,양찬열 : 삼진 아웃,
20230510OBLT02023,2,0,0,1,0,2,1,1,0,52528,50293,L,0.0,0.317,129.0,슬라이더,27,134.6,17,S,양찬열 : 삼진 아웃,
20230510OBLT02023,2,0,0,1,0,3,1,1,0,52528,50293,L,0.0,0.317,130.0,슬라이더,28,131.8,18,S,양찬열 : 삼진 아웃,
20230510OBLT02023,2,0,0,2,1,0,1,1,0,52528,64468,R,0.0,0.0,144.0,직구,29,135.0,19,B,박계범 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20230510OBLT02023,2,0,0,2,1,1,1,1,0,52528,64468,R,0.0,0.0,129.0,체인지업,30,131.8,20,F,박계범 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
