game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20230804SKLT02023,1,0,0,0,1,0,0,0,0,64565,51817,L,0.0,1.0,139.0,투심,1,139.0,1,B,추신수 : 우익수 오른쪽 1루타,
20230804SKLT02023,1,0,0,0,1,1,0,0,0,64565,51817,L,0.0,1.0,124.0,슬라이더,2,131.5,2,T,추신수 : 우익수 오른쪽 1루타,
20230804SKLT02023,1,0,0,0,1,2,0,0,0,64565,51817,L,0.0,1.0,140.0,투심,3,134.33,3,F,추신수 : 우익수 오른쪽 1루타,
20230804SKLT02023,1,0,0,0,1,2,0,0,0,64565,51817,L,0.0,1.0,131.0,포크,4,133.5,4,H,추신수 : 우익수 오른쪽 1루타,
20230804SKLT02023,1,0,0,0,1,0,1,0,0,64565,50854,L,0.0,0.254,113.0,커브,5,129.4,5,B,최지훈 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20230804SKLT02023,1,0,0,0,1,1,0,1,0,64565,50854,L,0.0,0.254,140.0,투심,6,129.6,6,T,최지훈 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20230804SKLT02023,1,0,0,0,2,1,0,1,0,64565,50854,L,0.0,0.254,130.0,포크,7,130.8,7,B,최지훈 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20230804SKLT02023,1,0,0,0,2,1,0,1,0,64565,50854,L,0.0,0.254,129.0,포크,8,128.6,8,H,최지훈 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20230804SKLT02023,1,0,0,1,1,0,0,0,1,64565,76267,L,0.0,0.237,131.0,포크,9,128.6,9,B,최주환 : 중견수 희생플라이 아웃,
20230804SKLT02023,1,0,0,1,2,0,0,0,1,64565,76267,L,0.0,0.237,127.0,슬라이더,10,131.4,10,B,최주환 : 중견수 희생플라이 아웃,
20230804SKLT02023,1,0,0,1,2,0,0,0,1,64565,76267,L,0.0,0.237,131.0,포크,11,129.6,11,H,최주환 : 중견수 희생플라이 아웃,
20230804SKLT02023,1,0,-1,2,0,1,0,0,0,64565,75847,R,0.0,0.315,140.0,투심,12,131.6,12,S,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,0,-1,2,1,1,0,0,0,64565,75847,R,0.0,0.315,140.0,투심,13,133.8,13,B,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,0,-1,2,1,2,0,0,0,64565,75847,R,0.0,0.315,129.0,포크,14,133.4,14,T,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,0,-1,2,2,2,0,0,0,64565,75847,R,0.0,0.315,128.0,슬라이더,15,133.6,15,B,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,0,-1,2,2,2,0,0,0,64565,75847,R,0.0,0.315,140.0,투심,16,135.4,16,F,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,0,-1,2,2,2,0,0,0,64565,75847,R,0.0,0.315,132.0,포크,17,133.8,17,H,최정 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20230804SKLT02023,1,1,-1,0,0,1,0,0,0,60841,50202,L,0.111,0.253,132.0,직구,1,132.0,1,T,안권수 : 삼진 아웃,
20230804SKLT02023,1,1,-1,0,1,1,0,0,0,60841,50202,L,0.111,0.253,131.0,투심,2,131.5,2,B,안권수 : 삼진 아웃,
20230804SKLT02023,1,1,-1,0,1,2,0,0,0,60841,50202,L,0.111,0.253,129.0,투심,3,130.67,3,T,안권수 : 삼진 아웃,
20230804SKLT02023,1,1,-1,0,1,2,0,0,0,60841,50202,L,0.111,0.253,122.0,커브,4,128.5,4,F,안권수 : 삼진 아웃,
20230804SKLT02023,1,1,-1,0,1,2,0,0,0,60841,50202,L,0.111,0.253,136.0,직구,5,130.0,5,F,안권수 : 삼진 아웃,
