game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20240525HHSK02024,1,0,0,0,0,0,0,0,0,50859,66704,R,0.0,0.307,142.0,직구,1,142.0,1,H,김태연 : 2루수 플라이 아웃,-2.3
20240525HHSK02024,1,0,0,1,0,1,0,0,0,50859,54730,S,0.0,0.321,130.0,슬라이더,2,136.0,2,T,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,1,0,2,0,0,0,50859,54730,S,0.0,0.321,114.0,커브,3,128.67,3,S,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,1,1,2,0,0,0,50859,54730,S,0.0,0.321,131.0,체인지업,4,129.25,4,B,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,1,2,2,0,0,0,50859,54730,S,0.0,0.321,144.0,직구,5,132.2,5,B,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,1,3,2,0,0,0,50859,54730,S,0.0,0.321,118.0,커브,6,127.4,6,B,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,1,3,3,0,0,0,50859,54730,S,0.0,0.321,145.0,직구,7,130.4,7,S,페라자 : 삼진 아웃,-1.7
20240525HHSK02024,1,0,0,2,1,0,0,0,0,50859,69737,R,0.0,0.269,113.0,커브,8,130.2,8,B,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,0,0,2,2,0,0,0,0,50859,69737,R,0.0,0.269,144.0,직구,9,132.8,9,B,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,0,0,2,2,1,0,0,0,50859,69737,R,0.0,0.269,115.0,커브,10,127.0,10,T,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,0,0,2,2,2,0,0,0,50859,69737,R,0.0,0.269,144.0,직구,11,132.2,11,F,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,0,0,2,2,2,0,0,0,50859,69737,R,0.0,0.269,146.0,직구,12,132.4,12,F,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,0,0,2,2,2,0,0,0,50859,69737,R,0.0,0.269,118.0,커브,13,133.4,13,H,노시환 : 좌익수 플라이 아웃,-1.1
20240525HHSK02024,1,1,0,0,0,1,0,0,0,76715,67893,L,0.25,0.293,133.0,직구,1,133.0,1,T,박성한 : 3루수 땅볼 아웃 (3루수->1루수 태그아웃),-2.3
20240525HHSK02024,1,1,0,0,1,1,0,0,0,76715,67893,L,0.25,0.293,107.0,커브,2,120.0,2,B,박성한 : 3루수 땅볼 아웃 (3루수->1루수 태그아웃),-2.3
