game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20240927NCLT02024,1,0,0,0,0,1,0,0,0,62363,69992,L,0.0,0.257,142.0,직구,1,142.0,1,T,최정원 : 삼진 아웃,-2.3
20240927NCLT02024,1,0,0,0,0,2,0,0,0,62363,69992,L,0.0,0.257,141.0,직구,2,141.5,2,F,최정원 : 삼진 아웃,-2.3
20240927NCLT02024,1,0,0,0,1,2,0,0,0,62363,69992,L,0.0,0.257,143.0,직구,3,142.0,3,B,최정원 : 삼진 아웃,-2.3
20240927NCLT02024,1,0,0,0,1,3,0,0,0,62363,69992,L,0.0,0.257,129.0,슬라이더,4,138.75,4,S,최정원 : 삼진 아웃,-2.3
20240927NCLT02024,1,0,0,1,0,1,0,0,0,62363,51907,S,0.0,0.259,125.0,슬라이더,5,136.0,5,T,김주원 : 삼진 아웃,-1.7
20240927NCLT02024,1,0,0,1,0,2,0,0,0,62363,51907,S,0.0,0.259,144.0,직구,6,136.4,6,S,김주원 : 삼진 아웃,-1.7
20240927NCLT02024,1,0,0,1,0,3,0,0,0,62363,51907,S,0.0,0.259,145.0,직구,7,137.2,7,S,김주원 : 삼진 아웃,-1.7
20240927NCLT02024,1,0,0,2,1,0,0,0,0,62363,69995,R,0.0,0.279,122.0,커브,8,133.0,8,B,서호철 : 우익수 플라이 아웃,-1.1
20240927NCLT02024,1,0,0,2,2,0,0,0,0,62363,69995,R,0.0,0.279,143.0,직구,9,135.8,9,B,서호철 : 우익수 플라이 아웃,-1.1
20240927NCLT02024,1,0,0,2,2,0,0,0,0,62363,69995,R,0.0,0.279,144.0,직구,10,139.6,10,H,서호철 : 우익수 플라이 아웃,-1.1
20240927NCLT02024,1,1,0,0,0,1,0,0,0,54900,50500,L,0.259,1.0,143.0,직구,1,143.0,1,T,황성빈 : 중견수 오른쪽 1루타,2.8
20240927NCLT02024,1,1,0,0,0,2,0,0,0,54900,50500,L,0.259,1.0,145.0,직구,2,144.0,2,S,황성빈 : 중견수 오른쪽 1루타,2.8
20240927NCLT02024,1,1,0,0,0,2,0,0,0,54900,50500,L,0.259,1.0,144.0,직구,3,144.0,3,H,황성빈 : 중견수 오른쪽 1루타,2.8
20240927NCLT02024,1,1,0,0,0,1,1,0,0,54900,54529,S,0.293,1.0,144.0,직구,4,144.0,4,T,레이예스 : 우익수 앞 1루타,7.0
20240927NCLT02024,1,1,0,0,0,1,1,0,0,54900,54529,S,0.293,1.0,145.0,직구,5,144.2,5,H,레이예스 : 우익수 앞 1루타,7.0
20240927NCLT02024,1,1,0,0,1,0,1,0,1,54900,69517,L,0.404,0.299,130.0,슬라이더,6,141.6,6,B,고승민 : 볼넷,3.7
20240927NCLT02024,1,1,0,0,2,0,1,0,1,54900,69517,L,0.404,0.299,142.0,직구,7,141.0,7,B,고승민 : 볼넷,3.7
20240927NCLT02024,1,1,0,0,2,1,1,0,1,54900,69517,L,0.404,0.299,143.0,직구,8,140.8,8,F,고승민 : 볼넷,3.7
