game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20250903SKHT02025,1,0,0,0,0,1,0,0,0,54640,67893,L,0.0,0.274,151.0,투심,1,151.0,1,T,박성한 : 삼진 아웃,-2.3
20250903SKHT02025,1,0,0,0,0,2,0,0,0,54640,67893,L,0.0,0.274,146.0,커터,2,148.5,2,T,박성한 : 삼진 아웃,-2.3
20250903SKHT02025,1,0,0,0,0,3,0,0,0,54640,67893,L,0.0,0.274,138.0,스위퍼,3,145.0,3,S,박성한 : 삼진 아웃,-2.3
20250903SKHT02025,1,0,0,1,0,1,0,0,0,54640,54812,L,0.0,0.232,151.0,투심,4,146.5,4,F,정준재 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-1.7
20250903SKHT02025,1,0,0,1,0,2,0,0,0,54640,54812,L,0.0,0.232,136.0,스위퍼,5,144.4,5,T,정준재 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-1.7
20250903SKHT02025,1,0,0,1,0,2,0,0,0,54640,54812,L,0.0,0.232,137.0,스위퍼,6,141.6,6,H,정준재 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-1.7
20250903SKHT02025,1,0,0,2,0,1,0,0,0,54640,53827,R,0.0,1.0,149.0,직구,7,142.2,7,W,에레디아 : 좌익수 앞 1루타,1.2
20250903SKHT02025,1,0,0,2,1,1,0,0,0,54640,53827,R,0.0,1.0,141.0,체인지업,8,142.8,8,B,에레디아 : 좌익수 앞 1루타,1.2
20250903SKHT02025,1,0,0,2,1,1,0,0,0,54640,53827,R,0.0,1.0,141.0,체인지업,9,140.8,9,H,에레디아 : 좌익수 앞 1루타,1.2
20250903SKHT02025,1,0,0,2,1,0,1,0,0,54640,62895,L,0.0,0.275,134.0,스위퍼,10,140.4,10,B,한유섬 : 볼넷,1.1
20250903SKHT02025,1,0,0,2,2,0,1,0,0,54640,62895,L,0.0,0.275,144.0,커터,11,141.8,11,B,한유섬 : 볼넷,1.1
20250903SKHT02025,1,0,0,2,2,1,0,1,0,54640,62895,L,0.0,0.275,136.0,스위퍼,12,139.2,12,T,한유섬 : 볼넷,1.1
20250903SKHT02025,1,0,0,2,3,1,0,1,0,54640,62895,L,0.0,0.275,149.0,투심,13,140.8,13,B,한유섬 : 볼넷,1.1
20250903SKHT02025,1,0,0,2,4,1,0,1,0,54640,62895,L,0.0,0.275,141.0,체인지업,14,140.8,14,B,한유섬 : 볼넷,1.1
20250903SKHT02025,1,0,0,2,0,1,1,1,0,54640,51868,R,0.0,0.27,150.0,투심,15,144.0,15,T,고명준 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-4.1
20250903SKHT02025,1,0,0,2,1,1,1,1,0,54640,51868,R,0.0,0.27,150.0,투심,16,145.2,16,B,고명준 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-4.1
20250903SKHT02025,1,0,0,2,1,1,1,1,0,54640,51868,R,0.0,0.27,144.0,커터,17,146.8,17,H,고명준 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-4.1
20250903SKHT02025,1,1,0,0,1,0,0,0,0,68856,52667,R,0.0,1.0,142.0,직구,1,142.0,1,B,윤도현 : 좌익수 뒤 2루타,5.0
20250903SKHT02025,1,1,0,0,1,1,0,0,0,68856,52667,R,0.0,1.0,141.0,직구,2,141.5,2,T,윤도현 : 좌익수 뒤 2루타,5.0
20250903SKHT02025,1,1,0,0,1,1,0,0,0,68856,52667,R,0.0,1.0,136.0,슬라이더,3,139.67,3,H,윤도현 : 좌익수 뒤 2루타,5.0
20250903SKHT02025,1,1,0,0,0,1,0,1,0,68856,64646,R,0.34,1.0,141.0,직구,4,140.0,4,T,박찬호 : 3루수 맞고 유격수 내야안타,4.8
20250903SKHT02025,1,1,0,0,0,1,0,1,0,68856,64646,R,0.34,1.0,124.0,커브,5,136.8,5,H,박찬호 : 3루수 맞고 유격수 내야안타,4.8
20250903SKHT02025,1,1,0,0,0,0,1,0,1,68856,78603,R,0.231,0.325,122.0,커브,6,132.8,6,H,김선빈 : 2루수 플라이 아웃,-4.8
20250903SKHT02025,1,1,0,1,1,0,1,0,1,68856,72443,L,0.256,0.304,143.0,직구,7,133.2,7,B,최형우 : 좌익수 희생플라이 아웃,1.1
20250903SKHT02025,1,1,0,1,1,1,1,0,1,68856,72443,L,0.256,0.304,140.0,직구,8,134.0,8,T,최형우 : 좌익수 희생플라이 아웃,1.1
20250903SKHT02025,1,1,0,1,1,1,1,0,1,68856,72443,L,0.256,0.304,135.0,포크,9,132.8,9,H,최형우 : 좌익수 희생플라이 아웃,1.1
