game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20180708HHSK02018,1,0,0,0,1,0,0,0,0,62869,74163,L,0.0,0.289,129.0,체인지업,1,129.0,1,B,이용규 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,0,0,0,1,1,0,0,0,62869,74163,L,0.0,0.289,143.0,직구,2,136.0,2,F,이용규 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,0,0,0,1,2,0,0,0,62869,74163,L,0.0,0.289,145.0,직구,3,139.0,3,F,이용규 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,0,0,0,1,2,0,0,0,62869,74163,L,0.0,0.289,123.0,커브,4,135.0,4,H,이용규 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,0,0,1,1,0,0,0,0,62869,62797,L,0.0,0.281,143.0,직구,5,136.6,5,B,양성우 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,1,1,1,0,0,0,62869,62797,L,0.0,0.281,130.0,체인지업,6,136.8,6,F,양성우 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,1,2,1,0,0,0,62869,62797,L,0.0,0.281,120.0,커브,7,132.2,7,B,양성우 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,1,2,1,0,0,0,62869,62797,L,0.0,0.281,129.0,체인지업,8,129.0,8,H,양성우 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,2,1,0,0,0,0,62869,73136,L,0.0,0.312,142.0,직구,9,132.8,9,B,이성열 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,2,1,1,0,0,0,62869,73136,L,0.0,0.312,128.0,체인지업,10,129.8,10,S,이성열 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,2,2,1,0,0,0,62869,73136,L,0.0,0.312,144.0,직구,11,132.6,11,B,이성열 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,2,3,1,0,0,0,62869,73136,L,0.0,0.312,148.0,직구,12,138.2,12,B,이성열 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,0,0,2,3,1,0,0,0,62869,73136,L,0.0,0.312,144.0,직구,13,141.2,13,H,이성열 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20180708HHSK02018,1,1,0,0,0,1,0,0,0,65764,63704,L,0.395,0.331,142.0,직구,1,142.0,1,T,노수광 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,1,0,0,0,2,0,0,0,65764,63704,L,0.395,0.331,144.0,직구,2,143.0,2,S,노수광 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,1,0,0,1,2,0,0,0,65764,63704,L,0.395,0.331,144.0,직구,3,143.33,3,B,노수광 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,1,0,0,1,2,0,0,0,65764,63704,L,0.395,0.331,127.0,체인지업,4,139.25,4,F,노수광 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,1,0,0,1,2,0,0,0,65764,63704,L,0.395,0.331,143.0,직구,5,140.0,5,H,노수광 : 중견수 플라이 아웃 ,
20180708HHSK02018,1,1,0,1,0,1,0,0,0,65764,62895,L,0.219,0.263,145.0,직구,6,140.6,6,T,한동민 :  삼진 아웃 ,
20180708HHSK02018,1,1,0,1,1,1,0,0,0,65764,62895,L,0.219,0.263,142.0,직구,7,140.2,7,B,한동민 :  삼진 아웃 ,
20180708HHSK02018,1,1,0,1,1,2,0,0,0,65764,62895,L,0.219,0.263,142.0,직구,8,139.8,8,F,한동민 :  삼진 아웃 ,
20180708HHSK02018,1,1,0,1,1,3,0,0,0,65764,62895,L,0.219,0.263,134.0,체인지업,9,141.2,9,S,한동민 :  삼진 아웃 ,
20180708HHSK02018,1,1,0,2,1,0,0,0,0,65764,67872,R,0.316,1.0,107.0,커브,10,134.0,10,B,로맥 : 3루수 앞 내야안타,
20180708HHSK02018,1,1,0,2,1,1,0,0,0,65764,67872,R,0.316,1.0,134.0,슬라이더,11,131.8,11,T,로맥 : 3루수 앞 내야안타,
