game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20190420NCSK02019,1,0,0,0,0,0,0,0,0,62869,62907,L,0.0,0.37,144.0,직구,1,144.0,1,H,박민우 : 중견수 플라이 아웃 ,
20190420NCSK02019,1,0,0,1,1,0,0,0,0,62869,62931,L,0.0,0.254,145.0,직구,2,144.5,2,B,노진혁 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190420NCSK02019,1,0,0,1,1,1,0,0,0,62869,62931,L,0.0,0.254,129.0,체인지업,3,139.33,3,S,노진혁 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190420NCSK02019,1,0,0,1,1,1,0,0,0,62869,62931,L,0.0,0.254,123.0,커브,4,135.25,4,H,노진혁 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20190420NCSK02019,1,0,0,2,0,1,0,0,0,62869,62947,L,0.0,1.0,138.0,슬라이더,5,135.8,5,F,나성범 : 우익수 앞 1루타,
20190420NCSK02019,1,0,0,2,0,1,0,0,0,62869,62947,L,0.0,1.0,145.0,직구,6,136.0,6,H,나성범 : 우익수 앞 1루타,
20190420NCSK02019,1,0,0,2,0,0,1,0,0,62869,69950,R,0.0,0.231,136.0,슬라이더,7,134.2,7,H,베탄코트 : 투수 땅볼 아웃 (투수->1루수 송구아웃),
20190420NCSK02019,1,1,0,0,1,0,0,0,0,68900,71837,R,0.167,0.315,131.0,슬라이더,1,131.0,1,B,김강민 :  볼넷,
20190420NCSK02019,1,1,0,0,1,1,0,0,0,68900,71837,R,0.167,0.315,136.0,직구,2,133.5,2,T,김강민 :  볼넷,
20190420NCSK02019,1,1,0,0,2,1,0,0,0,68900,71837,R,0.167,0.315,127.0,슬라이더,3,131.33,3,B,김강민 :  볼넷,
20190420NCSK02019,1,1,0,0,3,1,0,0,0,68900,71837,R,0.167,0.315,125.0,슬라이더,4,129.75,4,B,김강민 :  볼넷,
20190420NCSK02019,1,1,0,0,4,1,0,0,0,68900,71837,R,0.167,0.315,136.0,직구,5,131.0,5,B,김강민 :  볼넷,
20190420NCSK02019,1,1,0,0,0,1,1,0,0,68900,61353,L,0.4,0.32,135.0,직구,6,131.8,6,F,고종욱 : 중견수 플라이 아웃 ,
20190420NCSK02019,1,1,0,0,0,1,1,0,0,68900,61353,L,0.4,0.32,135.0,직구,7,131.6,7,H,고종욱 : 중견수 플라이 아웃 ,
20190420NCSK02019,1,1,0,1,0,0,1,0,0,68900,75847,R,0.0,1.0,135.0,직구,8,133.2,8,H,최정 : 좌중간 1루타,
20190420NCSK02019,1,1,0,1,0,1,1,0,1,68900,62895,L,0.0,0.241,130.0,슬라이더,9,134.2,9,T,한동민 :  삼진 아웃 ,
20190420NCSK02019,1,1,0,1,0,2,1,0,1,68900,62895,L,0.0,0.241,128.0,슬라이더,10,132.6,10,S,한동민 :  삼진 아웃 ,
20190420NCSK02019,1,1,0,1,1,2,1,0,1,68900,62895,L,0.0,0.241,127.0,슬라이더,11,131.0,11,B,한동민 :  삼진 아웃 ,
20190420NCSK02019,1,1,0,1,1,3,1,0,1,68900,62895,L,0.0,0.241,133.0,슬라이더,12,130.6,12,S,한동민 :  삼진 아웃 ,
20190420NCSK02019,1,1,0,2,0,1,1,0,1,68900,76812,R,0.333,0.253,130.0,슬라이더,13,129.6,13,T,이재원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190420NCSK02019,1,1,0,2,1,1,1,0,1,68900,76812,R,0.333,0.253,138.0,직구,14,131.2,14,B,이재원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190420NCSK02019,1,1,0,2,2,1,1,0,1,68900,76812,R,0.333,0.253,127.0,슬라이더,15,131.0,15,B,이재원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190420NCSK02019,1,1,0,2,2,1,1,0,1,68900,76812,R,0.333,0.253,131.0,슬라이더,16,131.8,16,H,이재원 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),
20190420NCSK02019,2,0,0,0,0,1,0,0,0,62869,76232,R,0.0,1.0,142.0,직구,8,136.8,1,T,양의지 : 우익수 오른쪽 1루타,
20190420NCSK02019,2,0,0,0,0,1,0,0,0,62869,76232,R,0.0,1.0,120.0,커브,9,136.2,2,H,양의지 : 우익수 오른쪽 1루타,
20190420NCSK02019,2,0,0,1,1,0,0,0,0,62869,74465,R,0.0,0.305,144.0,직구,10,137.4,3,B,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,1,1,1,0,0,0,62869,74465,R,0.0,0.305,144.0,직구,11,137.2,4,F,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,1,1,2,0,0,0,62869,74465,R,0.0,0.305,145.0,직구,12,139.0,5,S,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,1,2,2,0,0,0,62869,74465,R,0.0,0.305,139.0,슬라이더,13,138.4,6,B,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,1,2,2,0,0,0,62869,74465,R,0.0,0.305,146.0,직구,14,143.6,7,F,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,1,2,3,0,0,0,62869,74465,R,0.0,0.305,146.0,직구,15,144.0,8,S,박석민 :  삼진 아웃 ,
20190420NCSK02019,2,0,0,2,0,1,0,0,0,62869,63963,R,0.0,0.287,126.0,커브,16,140.4,9,F,권희동 : 중견수 플라이 아웃 ,
