game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20190818LGSS02019,1,0,0,0,0,1,0,0,0,68419,61186,L,0.0,0.319,137.0,직구,1,137.0,1,F,이천웅 : 좌익수 플라이 아웃,
20190818LGSS02019,1,0,0,0,0,1,0,0,0,68419,61186,L,0.0,0.319,140.0,직구,2,138.5,2,H,이천웅 : 좌익수 플라이 아웃,
20190818LGSS02019,1,0,0,1,0,0,0,0,0,68419,79109,L,0.0,1.0,140.0,직구,3,139.0,3,H,오지환 : 우익수 앞 1루타,
20190818LGSS02019,1,0,0,1,0,0,1,0,0,68419,78135,R,0.0,0.288,140.0,직구,4,139.25,4,H,이형종 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃),
20190818LGSS02019,1,1,0,0,0,1,0,0,0,76455,79402,R,0.25,1.0,139.0,직구,1,139.0,1,T,김상수 : 좌중간 1루타,
20190818LGSS02019,1,1,0,0,1,1,0,0,0,76455,79402,R,0.25,1.0,140.0,직구,2,139.5,2,B,김상수 : 좌중간 1루타,
20190818LGSS02019,1,1,0,0,1,1,0,0,0,76455,79402,R,0.25,1.0,121.0,포크,3,133.33,3,H,김상수 : 좌중간 1루타,
20190818LGSS02019,1,1,0,0,1,0,1,0,0,76455,62404,L,0.267,1.0,133.0,슬라이더,4,133.25,4,B,구자욱 : 중견수 앞 1루타,
20190818LGSS02019,1,1,0,0,1,1,1,0,0,76455,62404,L,0.267,1.0,131.0,슬라이더,5,132.8,5,S,구자욱 : 중견수 앞 1루타,
20190818LGSS02019,1,1,0,0,2,1,1,0,0,76455,62404,L,0.267,1.0,134.0,슬라이더,6,131.8,6,B,구자욱 : 중견수 앞 1루타,
20190818LGSS02019,1,1,0,0,2,2,1,0,0,76455,62404,L,0.267,1.0,133.0,슬라이더,7,130.4,7,T,구자욱 : 중견수 앞 1루타,
20190818LGSS02019,1,1,0,0,2,2,1,0,0,76455,62404,L,0.267,1.0,142.0,직구,8,134.6,8,H,구자욱 : 중견수 앞 1루타,
20190818LGSS02019,1,1,0,0,0,1,1,1,0,76455,61404,R,0.282,0.301,141.0,직구,9,136.2,9,T,김헌곤 :  삼진 아웃,
20190818LGSS02019,1,1,0,0,0,2,1,1,0,76455,61404,R,0.282,0.301,115.0,커브,10,133.0,10,F,김헌곤 :  삼진 아웃,
20190818LGSS02019,1,1,0,0,1,2,1,1,0,76455,61404,R,0.282,0.301,131.0,슬라이더,11,132.4,11,B,김헌곤 :  삼진 아웃,
20190818LGSS02019,1,1,0,0,1,3,1,1,0,76455,61404,R,0.282,0.301,113.0,커브,12,128.4,12,S,김헌곤 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,0,1,1,1,0,76455,67450,R,0.333,0.287,111.0,커브,13,122.2,13,T,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,0,2,1,1,0,76455,67450,R,0.333,0.287,131.0,슬라이더,14,120.2,14,T,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,1,2,1,1,0,76455,67450,R,0.333,0.287,142.0,직구,15,125.6,15,B,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,2,2,1,1,0,76455,67450,R,0.333,0.287,134.0,슬라이더,16,126.2,16,B,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,2,2,1,1,0,76455,67450,R,0.333,0.287,144.0,직구,17,132.4,17,F,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,1,2,3,1,1,0,76455,67450,R,0.333,0.287,131.0,슬라이더,18,136.4,18,S,러프 :  삼진 아웃,
20190818LGSS02019,1,1,0,2,0,1,1,1,0,76455,75566,R,0.216,0.257,142.0,직구,19,138.6,19,T,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,0,2,1,1,0,76455,75566,R,0.216,0.257,131.0,슬라이더,20,136.4,20,F,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,0,2,1,1,0,76455,75566,R,0.216,0.257,130.0,슬라이더,21,135.6,21,F,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,1,2,1,1,0,76455,75566,R,0.216,0.257,114.0,커브,22,129.6,22,B,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,2,2,1,1,0,76455,75566,R,0.216,0.257,142.0,직구,23,131.8,23,B,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,3,2,1,1,0,76455,75566,R,0.216,0.257,132.0,슬라이더,24,129.8,24,B,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,3,2,1,1,0,76455,75566,R,0.216,0.257,142.0,직구,25,132.0,25,F,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,1,1,0,2,3,2,1,1,0,76455,75566,R,0.216,0.257,131.0,슬라이더,26,132.2,26,H,이원석 : 좌익수 플라이 아웃,
20190818LGSS02019,2,0,0,0,1,0,0,0,0,68419,76290,L,0.0,1.0,129.0,슬라이더,5,137.2,1,B,김현수 : 우익수 오른쪽 1루타,
20190818LGSS02019,2,0,0,0,1,1,0,0,0,68419,76290,L,0.0,1.0,128.0,슬라이더,6,135.4,2,T,김현수 : 우익수 오른쪽 1루타,
