game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20220417KTLT02022,1,0,0,0,0,1,0,0,0,52528,64868,L,0.0,0.262,143.0,직구,1,143.0,1,T,조용호 : 삼진 아웃,
20220417KTLT02022,1,0,0,0,0,2,0,0,0,52528,64868,L,0.0,0.262,127.0,슬라이더,2,135.0,2,S,조용호 : 삼진 아웃,
20220417KTLT02022,1,0,0,0,0,3,0,0,0,52528,64868,L,0.0,0.262,126.0,슬라이더,3,132.0,3,T,조용호 : 삼진 아웃,
20220417KTLT02022,1,0,0,1,0,0,0,0,0,52528,76313,R,0.0,0.294,143.0,투심,4,134.75,4,H,황재균 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,1,0,0,2,0,1,0,0,0,52528,64014,R,0.0,0.357,143.0,투심,5,136.4,5,T,김병희 : 삼진 아웃,
20220417KTLT02022,1,0,0,2,0,2,0,0,0,52528,64014,R,0.0,0.357,121.0,커브,6,132.0,6,S,김병희 : 삼진 아웃,
20220417KTLT02022,1,0,0,2,1,2,0,0,0,52528,64014,R,0.0,0.357,125.0,체인지업,7,131.6,7,B,김병희 : 삼진 아웃,
20220417KTLT02022,1,0,0,2,1,3,0,0,0,52528,64014,R,0.0,0.357,127.0,체인지업,8,131.8,8,S,김병희 : 삼진 아웃,
20220417KTLT02022,1,1,0,0,0,1,0,0,0,65056,60523,R,0.25,1.0,138.0,직구,1,138.0,1,T,정훈 : 2루수 왼쪽 내야안타,
20220417KTLT02022,1,1,0,0,0,1,0,0,0,65056,60523,R,0.25,1.0,136.0,슬라이더,2,137.0,2,H,정훈 : 2루수 왼쪽 내야안타,
20220417KTLT02022,1,1,0,0,0,1,1,0,0,65056,69517,L,0.125,0.16,126.0,체인지업,3,133.33,3,W,고승민 : 삼진 아웃,
20220417KTLT02022,1,1,0,0,1,1,1,0,0,65056,69517,L,0.125,0.16,141.0,직구,4,135.25,4,B,고승민 : 삼진 아웃,
20220417KTLT02022,1,1,0,0,1,2,1,0,0,65056,69517,L,0.125,0.16,127.0,체인지업,5,133.6,5,F,고승민 : 삼진 아웃,
20220417KTLT02022,1,1,0,0,1,3,1,0,0,65056,69517,L,0.125,0.16,147.0,직구,6,135.4,6,S,고승민 : 삼진 아웃,
20220417KTLT02022,1,1,0,1,0,1,1,0,0,65056,68525,R,0.714,1.0,137.0,슬라이더,7,135.6,7,T,한동희 : 좌익수 앞 1루타,
20220417KTLT02022,1,1,0,1,0,1,1,0,0,65056,68525,R,0.714,1.0,120.0,커브,8,134.4,8,H,한동희 : 좌익수 앞 1루타,
20220417KTLT02022,1,1,0,1,1,0,1,1,0,65056,78513,R,0.5,0.313,144.0,직구,9,135.0,9,B,전준우 : 유격수 플라이 아웃,
20220417KTLT02022,1,1,0,1,1,0,1,1,0,65056,78513,R,0.5,0.313,141.0,직구,10,137.8,10,H,전준우 : 유격수 플라이 아웃,
20220417KTLT02022,1,1,0,2,0,1,1,1,0,65056,79608,R,0.333,0.296,144.0,직구,11,137.2,11,T,안치홍 : 1루수 플라이 아웃,
20220417KTLT02022,1,1,0,2,0,1,1,1,0,65056,79608,R,0.333,0.296,146.0,직구,12,139.0,12,H,안치홍 : 1루수 플라이 아웃,
20220417KTLT02022,2,0,0,0,1,0,0,0,0,52528,75125,R,0.0,0.229,140.0,직구,9,131.2,1,B,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,0,1,1,0,0,0,52528,75125,R,0.0,0.229,142.0,직구,10,131.0,2,T,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,0,2,1,0,0,0,52528,75125,R,0.0,0.229,126.0,체인지업,11,132.0,3,B,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,0,2,1,0,0,0,52528,75125,R,0.0,0.229,126.0,체인지업,12,132.2,4,H,박병호 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,1,0,1,0,0,0,52528,52025,S,0.0,0.265,141.0,투심,13,135.0,5,F,라모스 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,1,1,1,0,0,0,52528,52025,S,0.0,0.265,143.0,투심,14,135.6,6,B,라모스 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,1,2,1,0,0,0,52528,52025,S,0.0,0.265,143.0,직구,15,135.8,7,B,라모스 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,1,2,1,0,0,0,52528,52025,S,0.0,0.265,128.0,체인지업,16,136.2,8,H,라모스 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
20220417KTLT02022,2,0,0,2,0,1,0,0,0,52528,78548,R,0.0,0.125,118.0,커브,17,134.6,9,T,장성우 : 삼진 아웃,
20220417KTLT02022,2,0,0,2,1,1,0,0,0,52528,78548,R,0.0,0.125,143.0,직구,18,135.0,10,B,장성우 : 삼진 아웃,
