game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20220621WOSS02022,1,0,0,0,1,0,0,0,0,50449,63920,L,0.0,0.192,137.0,직구,1,137.0,1,B,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,0,1,1,0,0,0,50449,63920,L,0.0,0.192,141.0,직구,2,139.0,2,F,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,0,2,1,0,0,0,50449,63920,L,0.0,0.192,127.0,슬라이더,3,135.0,3,B,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,0,2,2,0,0,0,50449,63920,L,0.0,0.192,141.0,직구,4,136.5,4,T,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,0,3,2,0,0,0,50449,63920,L,0.0,0.192,133.0,슬라이더,5,135.8,5,B,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,0,3,2,0,0,0,50449,63920,L,0.0,0.192,143.0,직구,6,137.0,6,H,김준완 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,1,0,1,0,0,0,50449,65357,L,0.0,0.251,143.0,직구,7,137.4,7,T,송성문 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20220621WOSS02022,1,0,0,1,0,1,0,0,0,50449,65357,L,0.0,0.251,141.0,직구,8,140.2,8,H,송성문 : 1루수 땅볼 아웃 (1루수 1루 터치아웃),
20220621WOSS02022,1,0,0,2,0,1,0,0,0,50449,67341,L,0.0,1.0,144.0,직구,9,140.8,9,T,이정후 : 우중간 1루타,
20220621WOSS02022,1,0,0,2,0,1,0,0,0,50449,67341,L,0.0,1.0,130.0,슬라이더,10,140.2,10,H,이정후 : 우중간 1루타,
20220621WOSS02022,1,0,0,2,1,0,1,0,0,50449,67304,L,0.0,1.0,134.0,슬라이더,11,138.4,11,B,김혜성 : 좌중간 1루타,
20220621WOSS02022,1,0,0,2,1,0,1,0,0,50449,67304,L,0.0,1.0,141.0,직구,12,138.0,12,H,김혜성 : 좌중간 1루타,
20220621WOSS02022,1,0,0,2,1,0,1,0,1,50449,65898,L,0.0,0.255,133.0,슬라이더,13,136.4,13,B,김웅빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,2,1,1,1,0,1,50449,65898,L,0.0,0.255,133.0,슬라이더,14,134.2,14,T,김웅빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,2,2,1,1,0,1,50449,65898,L,0.0,0.255,131.0,슬라이더,15,134.4,15,B,김웅빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,2,3,1,1,0,1,50449,65898,L,0.0,0.255,132.0,슬라이더,16,134.0,16,B,김웅빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,0,0,2,3,1,1,0,1,50449,65898,L,0.0,0.255,135.0,슬라이더,17,132.8,17,H,김웅빈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),
20220621WOSS02022,1,1,0,0,1,0,0,0,0,52308,51417,L,0.111,1.0,144.0,투심,1,144.0,1,B,김현준 : 유격수 앞 내야안타,
20220621WOSS02022,1,1,0,0,2,0,0,0,0,52308,51417,L,0.111,1.0,143.0,투심,2,143.5,2,B,김현준 : 유격수 앞 내야안타,
