game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20220915OBSS02022,1,0,0,0,1,0,0,0,0,77446,79231,L,0.0,0.233,130.0,투심,1,130.0,1,B,정수빈 : 유격수 땅볼 실책으로 출루 (유격수 포구 실책),
20220915OBSS02022,1,0,0,0,1,0,0,0,0,77446,79231,L,0.0,0.233,131.0,투심,2,130.5,2,H,정수빈 : 유격수 땅볼 실책으로 출루 (유격수 포구 실책),
20220915OBSS02022,1,0,0,0,0,0,1,0,0,77446,63123,R,0.0,0.253,132.0,직구,3,131.0,3,H,강승호 : 1루수 파울플라이 아웃,
20220915OBSS02022,1,0,0,1,0,1,1,0,0,77446,79240,R,0.0,1.0,132.0,투심,4,131.25,4,T,허경민 : 우중간 2루타,
20220915OBSS02022,1,0,0,1,1,1,1,0,0,77446,79240,R,0.0,1.0,128.0,체인지업,5,130.6,5,B,허경민 : 우중간 2루타,
20220915OBSS02022,1,0,0,1,1,2,1,0,0,77446,79240,R,0.0,1.0,126.0,슬라이더,6,129.8,6,F,허경민 : 우중간 2루타,
20220915OBSS02022,1,0,0,1,1,2,1,0,0,77446,79240,R,0.0,1.0,138.0,직구,7,131.2,7,F,허경민 : 우중간 2루타,
20220915OBSS02022,1,0,0,1,1,2,1,0,0,77446,79240,R,0.0,1.0,137.0,직구,8,132.2,8,H,허경민 : 우중간 2루타,
20220915OBSS02022,1,0,0,1,0,1,0,1,1,77446,78224,L,0.0,0.235,129.0,슬라이더,9,131.6,9,F,김재환 : 좌익수 플라이 아웃,
20220915OBSS02022,1,0,0,1,1,1,0,1,1,77446,78224,L,0.0,0.235,120.0,커브,10,130.0,10,B,김재환 : 좌익수 플라이 아웃,
20220915OBSS02022,1,0,0,1,1,1,0,1,1,77446,78224,L,0.0,0.235,130.0,슬라이더,11,130.8,11,H,김재환 : 좌익수 플라이 아웃,
20220915OBSS02022,1,0,0,2,1,0,0,1,1,77446,64153,R,0.0,0.247,134.0,투심,12,130.0,12,B,양석환 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃),
