game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20230611SKNC02023,1,0,0,0,1,0,0,0,0,53927,50854,L,0.0,0.289,147.0,직구,1,147.0,1,B,최지훈 : 삼진 아웃,
20230611SKNC02023,1,0,0,0,1,1,0,0,0,53927,50854,L,0.0,0.289,148.0,직구,2,147.5,2,T,최지훈 : 삼진 아웃,
20230611SKNC02023,1,0,0,0,1,2,0,0,0,53927,50854,L,0.0,0.289,131.0,슬라이더,3,142.0,3,T,최지훈 : 삼진 아웃,
20230611SKNC02023,1,0,0,0,2,2,0,0,0,53927,50854,L,0.0,0.289,151.0,직구,4,144.25,4,B,최지훈 : 삼진 아웃,
20230611SKNC02023,1,0,0,0,2,3,0,0,0,53927,50854,L,0.0,0.289,133.0,슬라이더,5,142.0,5,S,최지훈 : 삼진 아웃,
20230611SKNC02023,1,0,0,1,0,1,0,0,0,53927,67893,L,0.0,0.242,137.0,체인지업,6,140.0,6,T,박성한 : 중견수 플라이 아웃,
20230611SKNC02023,1,0,0,1,1,1,0,0,0,53927,67893,L,0.0,0.242,136.0,슬라이더,7,137.6,7,B,박성한 : 중견수 플라이 아웃,
20230611SKNC02023,1,0,0,1,2,1,0,0,0,53927,67893,L,0.0,0.242,137.0,체인지업,8,138.8,8,B,박성한 : 중견수 플라이 아웃,
20230611SKNC02023,1,0,0,1,2,1,0,0,0,53927,67893,L,0.0,0.242,147.0,직구,9,138.0,9,H,박성한 : 중견수 플라이 아웃,
20230611SKNC02023,1,0,0,2,1,0,0,0,0,53927,75847,R,0.0,1.0,136.0,체인지업,10,138.6,10,B,최정 : 좌익수 뒤 홈런 (홈런거리:115M),
20230611SKNC02023,1,0,0,2,1,1,0,0,0,53927,75847,R,0.0,1.0,135.0,슬라이더,11,138.2,11,S,최정 : 좌익수 뒤 홈런 (홈런거리:115M),
