game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20250808SKLT02025,1,0,0,0,1,0,0,0,0,67539,67893,L,0.0,0.262,144.0,직구,1,144.0,1,B,박성한 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-2.3
20250808SKLT02025,1,0,0,0,1,1,0,0,0,67539,67893,L,0.0,0.262,144.0,직구,2,144.0,2,T,박성한 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-2.3
20250808SKLT02025,1,0,0,0,1,2,0,0,0,67539,67893,L,0.0,0.262,130.0,포크,3,139.33,3,T,박성한 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-2.3
20250808SKLT02025,1,0,0,0,2,2,0,0,0,67539,67893,L,0.0,0.262,140.0,커터,4,139.5,4,B,박성한 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-2.3
20250808SKLT02025,1,0,0,0,2,2,0,0,0,67539,67893,L,0.0,0.262,146.0,직구,5,140.8,5,H,박성한 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-2.3
20250808SKLT02025,1,0,0,1,1,0,0,0,0,67539,53827,R,0.0,0.31,121.0,커브,6,136.2,6,B,에레디아 : 중견수 플라이 아웃,-1.7
20250808SKLT02025,1,0,0,1,1,0,0,0,0,67539,53827,R,0.0,0.31,148.0,직구,7,137.0,7,H,에레디아 : 중견수 플라이 아웃,-1.7
20250808SKLT02025,1,0,0,2,0,1,0,0,0,67539,75847,R,0.0,0.216,146.0,직구,8,140.2,8,F,최정 : 삼진 아웃,-1.1
20250808SKLT02025,1,0,0,2,1,1,0,0,0,67539,75847,R,0.0,0.216,148.0,직구,9,141.8,9,B,최정 : 삼진 아웃,-1.1
20250808SKLT02025,1,0,0,2,1,2,0,0,0,67539,75847,R,0.0,0.216,118.0,커브,10,136.2,10,S,최정 : 삼진 아웃,-1.1
20250808SKLT02025,1,0,0,2,1,3,0,0,0,67539,75847,R,0.0,0.216,134.0,포크,11,138.8,11,S,최정 : 삼진 아웃,-1.1
20250808SKLT02025,1,1,0,0,1,0,0,0,0,68856,50500,L,0.25,0.285,144.0,직구,1,144.0,1,B,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,1,1,0,0,0,68856,50500,L,0.25,0.285,143.0,직구,2,143.5,2,T,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,1,2,0,0,0,68856,50500,L,0.25,0.285,121.0,커브,3,136.0,3,T,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,1,2,0,0,0,68856,50500,L,0.25,0.285,145.0,직구,4,138.25,4,F,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,2,2,0,0,0,68856,50500,L,0.25,0.285,136.0,포크,5,137.8,5,B,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,2,2,0,0,0,68856,50500,L,0.25,0.285,146.0,직구,6,138.2,6,F,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,0,2,3,0,0,0,68856,50500,L,0.25,0.285,140.0,커터,7,137.6,7,S,황성빈 : 삼진 아웃,-2.3
20250808SKLT02025,1,1,0,1,1,0,0,0,0,68856,69517,L,0.229,0.29,144.0,직구,8,142.2,8,B,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,2,0,0,0,0,68856,69517,L,0.229,0.29,145.0,직구,9,142.2,9,B,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,2,1,0,0,0,68856,69517,L,0.229,0.29,145.0,직구,10,144.0,10,F,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,3,1,0,0,0,68856,69517,L,0.229,0.29,122.0,커브,11,139.2,11,B,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,3,2,0,0,0,68856,69517,L,0.229,0.29,146.0,직구,12,140.4,12,F,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,3,2,0,0,0,68856,69517,L,0.229,0.29,144.0,직구,13,140.4,13,F,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,1,3,3,0,0,0,68856,69517,L,0.229,0.29,139.0,커터,14,139.2,14,S,고승민 : 삼진 아웃,-1.7
20250808SKLT02025,1,1,0,2,0,1,0,0,0,68856,50150,R,0.189,0.268,135.0,슬라이더,15,137.2,15,S,손호영 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-1.1
20250808SKLT02025,1,1,0,2,0,1,0,0,0,68856,50150,R,0.189,0.268,143.0,직구,16,141.4,16,H,손호영 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃),-1.1
20250808SKLT02025,2,0,0,0,0,1,0,0,0,67539,62895,L,0.0,0.271,131.0,포크,12,135.4,1,T,한유섬 : 좌익수 플라이 아웃,-2.5
20250808SKLT02025,2,0,0,0,1,1,0,0,0,67539,62895,L,0.0,0.271,142.0,커터,13,134.6,2,B,한유섬 : 좌익수 플라이 아웃,-2.5
20250808SKLT02025,2,0,0,0,1,1,0,0,0,67539,62895,L,0.0,0.271,145.0,직구,14,134.0,3,H,한유섬 : 좌익수 플라이 아웃,-2.5
20250808SKLT02025,2,0,0,1,1,0,0,0,0,67539,50840,R,0.0,0.265,119.0,커브,15,134.2,4,B,현원회 : 1루수 파울플라이 아웃,-1.7
20250808SKLT02025,2,0,0,1,2,0,0,0,0,67539,50840,R,0.0,0.265,132.0,커터,16,133.8,5,B,현원회 : 1루수 파울플라이 아웃,-1.7
20250808SKLT02025,2,0,0,1,2,0,0,0,0,67539,50840,R,0.0,0.265,147.0,직구,17,137.0,6,H,현원회 : 1루수 파울플라이 아웃,-1.7
20250808SKLT02025,2,0,0,2,1,0,0,0,0,67539,66864,R,0.0,0.259,149.0,직구,18,138.4,7,B,안상현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃),-1.2
