game_id,inning,home_or_away,score_diff,out_count,ball_count_B,ball_count_S,is_base1,is_base2,is_base3,pitcher_id,batter_id,batter_hit_type,pitcher_vs_batter_avg,batter_recent_avg,pitch_speed,pitch_type,total_pitch_count,recent_5_pitch_speed_avg,inning_pitch_count,pitch_result,relay_text,reward_wpa
20250913KTSS02025,1,0,0,0,0,1,0,0,0,69446,79240,R,0.0,0.281,147.0,직구,1,147.0,1,T,허경민 : 1루수 파울플라이 아웃,-2.3
20250913KTSS02025,1,0,0,0,1,1,0,0,0,69446,79240,R,0.0,0.281,119.0,커브,2,133.0,2,B,허경민 : 1루수 파울플라이 아웃,-2.3
20250913KTSS02025,1,0,0,0,1,2,0,0,0,69446,79240,R,0.0,0.281,132.0,슬라이더,3,132.67,3,T,허경민 : 1루수 파울플라이 아웃,-2.3
20250913KTSS02025,1,0,0,0,1,2,0,0,0,69446,79240,R,0.0,0.281,134.0,슬라이더,4,133.0,4,H,허경민 : 1루수 파울플라이 아웃,-2.3
20250913KTSS02025,1,0,0,1,0,1,0,0,0,69446,55013,L,0.0,0.273,139.0,커터,5,134.2,5,T,스티븐슨 : 삼진 아웃,-1.7
20250913KTSS02025,1,0,0,1,0,2,0,0,0,69446,55013,L,0.0,0.273,139.0,커터,6,132.6,6,T,스티븐슨 : 삼진 아웃,-1.7
20250913KTSS02025,1,0,0,1,0,3,0,0,0,69446,55013,L,0.0,0.273,140.0,커터,7,136.8,7,S,스티븐슨 : 삼진 아웃,-1.7
20250913KTSS02025,1,0,0,2,0,0,0,0,0,69446,52001,R,0.0,0.328,115.0,커브,8,133.4,8,H,안현민 : 중견수 플라이 아웃,-1.1
20250913KTSS02025,1,1,0,0,1,0,0,0,0,64001,52415,R,0.174,1.0,136.0,투심,1,136.0,1,B,이재현 : 좌익수 왼쪽 2루타,5.0
20250913KTSS02025,1,1,0,0,1,1,0,0,0,64001,52415,R,0.174,1.0,138.0,투심,2,137.0,2,S,이재현 : 좌익수 왼쪽 2루타,5.0
20250913KTSS02025,1,1,0,0,1,1,0,0,0,64001,52415,R,0.174,1.0,118.0,체인지업,3,130.67,3,H,이재현 : 좌익수 왼쪽 2루타,5.0
